ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
309	"ENSG00000147274.14"	"RBMX"	chrX	-	136876502	136876655	136875470	136875585	136877914	136878086
312	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136875470	136875585	136879016	136879123
314	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879123	136877914	136878086	136880596	136880722
315	"ENSG00000147274.14"	"RBMX"	chrX	-	136879318	136879453	136879016	136879123	136880596	136880722
327	"ENSG00000198689.11"	"SLC9A6"	chrX	+	136002107	136002213	135998855	135998968	136010441	136010583
329	"ENSG00000230162.1"	"CT45A11P"	chrX	-	135944322	135944416	135942477	135943103	135944795	135945034
332	"ENSG00000173275.13"	"ZNF449"	chrX	+	135359891	135360005	135349109	135349314	135360192	135363413
335	"ENSG00000101928.13"	"MOSPD1"	chrX	-	134899279	134899534	134896816	134897034	134915181	134915227
342	"ENSG00000123728.10"	"RAP2C"	chrX	-	132216995	132217806	132214133	132214446	132217915	132218012
343	"ENSG00000123728.10"	"RAP2C"	chrX	-	132217277	132217367	132216995	132217156	132218231	132218332
344	"ENSG00000134602.16"	"STK26"	chrX	+	132023507	132023659	132023301	132023407	132054630	132054861
347	"ENSG00000134602.16"	"STK26"	chrX	+	132063432	132063489	132054630	132054861	132068214	132068323
349	"ENSG00000134602.16"	"STK26"	chrX	+	132072267	132072361	132071068	132071217	132072812	132072875
350	"ENSG00000134597.16"	"RBMX2"	chrX	+	130403801	130403853	130402000	130402370	130409256	130409386
351	"ENSG00000134597.16"	"RBMX2"	chrX	+	130409256	130409386	130403801	130403853	130411347	130411506
352	"ENSG00000134597.16"	"RBMX2"	chrX	+	130411347	130411525	130403801	130403853	130412360	130413656
353	"ENSG00000102034.16"	"ELF4"	chrX	-	130081255	130081539	130074580	130074752	130110324	130110495
354	"ENSG00000102034.16"	"ELF4"	chrX	-	130081255	130081539	130074580	130074752	130110619	130110716
356	"ENSG00000085185.15"	"BCORL1"	chrX	+	130022896	130022977	130020984	130021150	130028634	130028861
360	"ENSG00000188706.13"	"ZDHHC9"	chrX	-	129841778	129841956	129828980	129829141	129843695	129843909
362	"ENSG00000101972.18"	"STAG2"	chrX	+	123961785	123961856	123961313	123961435	124022530	124022671
365	"ENSG00000101972.18"	"STAG2"	chrX	+	124021366	124021431	123960863	123960942	124022530	124022671
366	"ENSG00000101972.18"	"STAG2"	chrX	+	124021366	124021431	123961317	123961435	124022530	124022671
370	"ENSG00000101972.18"	"STAG2"	chrX	+	124037526	124037623	124030960	124031125	124042568	124042645
371	"ENSG00000101972.18"	"STAG2"	chrX	+	124056127	124056235	124051314	124051394	124057865	124057977
372	"ENSG00000101972.18"	"STAG2"	chrX	+	124077956	124078058	124076331	124076471	124081379	124081528
373	"ENSG00000101972.18"	"STAG2"	chrX	+	124081379	124081528	124077956	124078058	124083420	124083549
374	"ENSG00000101972.18"	"STAG2"	chrX	+	124083420	124083549	124081379	124081528	124086546	124086770
376	"ENSG00000101972.18"	"STAG2"	chrX	+	124095371	124095449	124094017	124094144	124100573	124100902
382	"ENSG00000101966.12"	"XIAP"	chrX	+	123888618	123888718	123885630	123886539	123891237	123891309
385	"ENSG00000101966.12"	"XIAP"	chrX	+	123892730	123892773	123891237	123891316	123900492	123900566
386	"ENSG00000125676.20"	"THOC2"	chrX	-	123613398	123613556	123600560	123601338	123614051	123614189
387	"ENSG00000125676.20"	"THOC2"	chrX	-	123613398	123613556	123611439	123611516	123613638	123613708
388	"ENSG00000125676.20"	"THOC2"	chrX	-	123613398	123613556	123611439	123611516	123614051	123614189
389	"ENSG00000125676.20"	"THOC2"	chrX	-	123613638	123613708	123611439	123611516	123614051	123614189
390	"ENSG00000125676.20"	"THOC2"	chrX	-	123613638	123613708	123613398	123613556	123614051	123614189
391	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619436	123614051	123614189	123620906	123620948
392	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123614051	123614189	123620906	123620965
393	"ENSG00000125676.20"	"THOC2"	chrX	-	123622757	123622860	123621156	123621587	123623104	123623283
395	"ENSG00000125676.20"	"THOC2"	chrX	-	123624059	123624191	123623512	123623971	123624540	123624609
396	"ENSG00000125676.20"	"THOC2"	chrX	-	123632860	123633040	123631687	123631852	123633952	123634070
397	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123671668	123671761	123696020	123696154
398	"ENSG00000125676.20"	"THOC2"	chrX	-	123703453	123703505	123671668	123671761	123706857	123706949
402	"ENSG00000232119.8"	"MCTS1"	chrX	+	120605406	120605559	120604100	120604247	120606078	120606136
403	"ENSG00000158290.16"	"CUL4B"	chrX	-	120532421	120532594	120530101	120530254	120534480	120534586
404	"ENSG00000158290.16"	"CUL4B"	chrX	-	120534480	120534586	120532335	120532594	120535829	120535943
405	"ENSG00000158290.16"	"CUL4B"	chrX	-	120535829	120535943	120532335	120532594	120536926	120537034
406	"ENSG00000158290.16"	"CUL4B"	chrX	-	120539267	120539372	120538659	120538770	120540369	120540562
407	"ENSG00000158290.16"	"CUL4B"	chrX	-	120544480	120544643	120544113	120544203	120545443	120545517
411	"ENSG00000233382.7"	"NKAPP1"	chrX	-	120240226	120240355	120137041	120137189	120244763	120245233
413	"ENSG00000125356.7"	"NDUFA1"	chrX	+	119873303	119873393	119871831	119872013	119876513	119876662
414	"ENSG00000125351.11"	"UPF3B"	chrX	-	119834919	119835027	119831651	119831759	119837756	119837932
415	"ENSG00000125351.11"	"UPF3B"	chrX	-	119837756	119838051	119834021	119835027	119838366	119838527
416	"ENSG00000125351.11"	"UPF3B"	chrX	-	119838366	119838527	119834021	119835027	119841075	119841258
419	"ENSG00000125351.11"	"UPF3B"	chrX	-	119841075	119841258	119838366	119838527	119843190	119843301
420	"ENSG00000125351.11"	"UPF3B"	chrX	-	119841734	119841778	119841075	119841258	119843190	119843301
421	"ENSG00000125351.11"	"UPF3B"	chrX	-	119843190	119843301	119841734	119841778	119845197	119845254
422	"ENSG00000125351.11"	"UPF3B"	chrX	-	119845197	119845296	119843190	119843301	119851494	119851601
423	"ENSG00000125351.11"	"UPF3B"	chrX	-	119851494	119851601	119845197	119845296	119851766	119851873
424	"ENSG00000198918.8"	"RPL39"	chrX	-	119789907	119790011	119786503	119786732	119791573	119791630
427	"ENSG00000018610.14"	"CXorf56"	chrX	-	119542504	119542594	119541327	119541420	119560267	119560385
428	"ENSG00000018610.14"	"CXorf56"	chrX	-	119544352	119544491	119542504	119542594	119545462	119545504
429	"ENSG00000018610.14"	"CXorf56"	chrX	-	119544352	119544491	119542504	119542594	119560267	119560385
430	"ENSG00000018610.14"	"CXorf56"	chrX	-	119545462	119545504	119542504	119542594	119560267	119560385
432	"ENSG00000018610.14"	"CXorf56"	chrX	-	119560267	119560385	119542504	119542594	119565231	119565401
434	"ENSG00000077713.19"	"SLC25A43"	chrX	+	119410189	119410362	119399408	119399678	119452008	119452143
436	"ENSG00000077713.19"	"SLC25A43"	chrX	+	119426181	119426354	119410189	119410362	119451849	119452143
437	"ENSG00000077713.19"	"SLC25A43"	chrX	+	119426181	119426354	119410189	119410362	119452008	119452143
439	"ENSG00000175556.17"	"LONRF3"	chrX	+	118978344	118978463	118974613	118975597	118989407	118989672
442	"ENSG00000175556.17"	"LONRF3"	chrX	+	119006120	119006235	118990469	118990560	119009125	119009247
443	"ENSG00000175556.17"	"LONRF3"	chrX	+	119012879	119013201	119011814	119011973	119014206	119014356
444	"ENSG00000175556.17"	"LONRF3"	chrX	+	119013038	119013201	119011814	119011973	119014206	119014356
449	"ENSG00000131725.14"	"WDR44"	chrX	+	118392631	118393271	118387339	118387414	118394054	118394185
450	"ENSG00000131725.14"	"WDR44"	chrX	+	118436701	118436824	118432780	118432894	118441367	118441559
452	"ENSG00000131725.14"	"WDR44"	chrX	+	118444359	118444494	118443559	118443687	118448892	118449937
456	"ENSG00000102024.18"	"PLS3"	chrX	+	115610242	115610323	115561173	115561260	115622245	115622409
459	"ENSG00000102024.18"	"PLS3"	chrX	+	115622245	115622409	115561173	115561260	115636835	115636978
465	"ENSG00000101901.12"	"ALG13"	chrX	+	111686136	111686174	111684964	111685103	111689086	111689197
466	"ENSG00000101901.12"	"ALG13"	chrX	+	111686136	111686174	111684964	111685103	111708026	111708393
469	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111684964	111685103	111717845	111717927
470	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111686136	111686174	111708026	111708166
471	"ENSG00000101901.12"	"ALG13"	chrX	+	111708026	111708393	111684964	111685103	111708964	111708998
473	"ENSG00000101901.12"	"ALG13"	chrX	+	111708964	111709048	111684964	111685103	111711674	111711725
474	"ENSG00000101901.12"	"ALG13"	chrX	+	111708964	111709048	111684964	111685103	111713224	111713297
475	"ENSG00000101901.12"	"ALG13"	chrX	+	111708964	111709048	111684964	111685103	111717845	111717927
476	"ENSG00000101901.12"	"ALG13"	chrX	+	111711674	111711725	111689086	111689197	111712483	111712493
477	"ENSG00000101901.12"	"ALG13"	chrX	+	111713224	111713297	111708964	111709048	111717845	111717927
478	"ENSG00000101901.12"	"ALG13"	chrX	+	111716952	111717004	111689086	111689197	111717845	111717927
480	"ENSG00000101901.12"	"ALG13"	chrX	+	111717845	111717927	111713224	111713297	111718111	111718274
481	"ENSG00000101901.12"	"ALG13"	chrX	+	111721602	111721711	111720094	111720170	111722792	111722857
483	"ENSG00000101901.12"	"ALG13"	chrX	+	111721602	111721711	111720094	111720170	111724933	111725061
484	"ENSG00000101901.12"	"ALG13"	chrX	+	111722792	111722857	111720094	111720170	111723797	111723898
485	"ENSG00000101901.12"	"ALG13"	chrX	+	111722792	111722857	111720094	111720170	111724933	111725061
487	"ENSG00000101901.12"	"ALG13"	chrX	+	111722792	111722857	111721602	111721711	111724933	111725061
489	"ENSG00000101901.12"	"ALG13"	chrX	+	111723797	111723898	111722792	111722857	111724933	111725061
490	"ENSG00000101901.12"	"ALG13"	chrX	+	111727331	111727445	111726808	111727055	111727613	111727770
491	"ENSG00000101901.12"	"ALG13"	chrX	+	111727613	111727770	111727331	111727445	111728184	111728270
492	"ENSG00000101901.12"	"ALG13"	chrX	+	111728184	111728305	111727613	111727770	111730394	111730427
493	"ENSG00000101901.12"	"ALG13"	chrX	+	111730394	111730427	111727613	111727770	111735050	111735122
495	"ENSG00000101901.12"	"ALG13"	chrX	+	111730524	111730580	111730394	111730427	111744667	111744904
497	"ENSG00000101901.12"	"ALG13"	chrX	+	111744667	111744904	111737026	111737081	111752789	111752830
508	"ENSG00000068366.20"	"ACSL4"	chrX	-	109683135	109683372	109682718	109682896	109733138	109733403
509	"ENSG00000068366.20"	"ACSL4"	chrX	-	109683135	109683375	109682718	109682896	109733138	109733220
510	"ENSG00000068366.20"	"ACSL4"	chrX	-	109683135	109683552	109682718	109682896	109733138	109733325
511	"ENSG00000068366.20"	"ACSL4"	chrX	-	109683135	109683666	109682718	109682896	109733138	109733325
514	"ENSG00000068366.20"	"ACSL4"	chrX	-	109696143	109696196	109683135	109683372	109733138	109733198
527	"ENSG00000147234.10"	"FRMPD3"	chrX	+	107533504	107533550	107530408	107530511	107545736	107545841
528	"ENSG00000147234.10"	"FRMPD3"	chrX	+	107550048	107550156	107544582	107545841	107552794	107552926
530	"ENSG00000133131.15"	"MORC4"	chrX	-	106956479	106956534	106954912	106955088	106956935	106957004
531	"ENSG00000133131.15"	"MORC4"	chrX	-	106999676	106999749	106993229	106993362	106999867	107000078
532	"ENSG00000133138.20"	"TBC1D8B"	chrX	+	106823225	106823466	106821976	106822202	106826029	106826237
534	"ENSG00000133138.20"	"TBC1D8B"	chrX	+	106870715	106870813	106869484	106869541	106873569	106874117
536	"ENSG00000158427.15"	"TMSB15B"	chrX	+	103962020	103962723	103918895	103919292	103964505	103964622
542	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678600	103675495	103677051	103684680	103684729
544	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678620	103676825	103677051	103684680	103684729
545	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678620	103676825	103677051	103685170	103685260
546	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678651	103675497	103677051	103684680	103684729
548	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103684680	103684729	103676494	103677051	103685170	103685260
550	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103684680	103684729	103678498	103678620	103685170	103685260
552	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103685170	103685260	103678498	103678600	103686630	103686684
553	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103685170	103685260	103678498	103678620	103686630	103686684
554	"ENSG00000172465.14"	"TCEAL1"	chrX	+	103629493	103629561	103628998	103629025	103629884	103630447
555	"ENSG00000172465.14"	"TCEAL1"	chrX	+	103629493	103629573	103628974	103629025	103629884	103630953
556	"ENSG00000196507.11"	"TCEAL3"	chrX	+	103608603	103608673	103607905	103608070	103609037	103609926
557	"ENSG00000196507.11"	"TCEAL3"	chrX	+	103608603	103608673	103607905	103608070	103609042	103609927
558	"ENSG00000196507.11"	"TCEAL3"	chrX	+	103608603	103608673	103607962	103608058	103609037	103609926
559	"ENSG00000196507.11"	"TCEAL3"	chrX	+	103608603	103608673	103607962	103608058	103609042	103609927
560	"ENSG00000196507.11"	"TCEAL3"	chrX	+	103625317	103625435	103610510	103610607	103627040	103627154
561	"ENSG00000196507.11"	"TCEAL3"	chrX	+	103627040	103627154	103610510	103610607	103628405	103628793
563	"ENSG00000166681.13"	"BEX3"	chrX	+	103377027	103377106	103376339	103376613	103377509	103378077
567	"ENSG00000223546.7"	"LINC00630"	chrX	+	102770351	102770420	102769157	102769341	102826968	102827144
568	"ENSG00000223546.7"	"LINC00630"	chrX	+	102816991	102817082	102769186	102769341	102825992	102826169
569	"ENSG00000223546.7"	"LINC00630"	chrX	+	102816991	102817082	102769186	102769341	102826968	102827136
571	"ENSG00000223546.7"	"LINC00630"	chrX	+	102825992	102826169	102769180	102769341	102826968	102827144
573	"ENSG00000223546.7"	"LINC00630"	chrX	+	102826968	102827136	102769186	102769341	102839800	102839972
574	"ENSG00000223546.7"	"LINC00630"	chrX	+	102826968	102827144	102769157	102769341	102839800	102839863
575	"ENSG00000223546.7"	"LINC00630"	chrX	+	102839800	102839863	102826968	102827144	102865041	102865152
577	"ENSG00000223546.7"	"LINC00630"	chrX	+	102845856	102846020	102839800	102839863	102865041	102865152
578	"ENSG00000223546.7"	"LINC00630"	chrX	+	102865041	102865152	102826968	102827144	102884142	102884166
582	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102600919	102601032	102599705	102599859	102601463	102601509
584	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102601463	102601509	102599525	102599847	102639399	102639527
585	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102601463	102601509	102599705	102599859	102605481	102605653
587	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102605481	102605653	102599525	102599847	102639399	102639527
588	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102605481	102605653	102601463	102601509	102639399	102639527
590	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102639399	102639533	102605481	102605653	102713781	102713849
595	"ENSG00000166432.15"	"ZMAT1"	chrX	-	101895813	101895879	101886631	101886731	101897867	101898042
596	"ENSG00000166432.15"	"ZMAT1"	chrX	-	101895813	101895882	101886631	101886731	101897867	101898042
598	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101444051	101444155	101418909	101419000	101445997	101446044
599	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101444051	101444155	101418909	101419000	101487192	101487272
600	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101445997	101446044	101418909	101419000	101486022	101486092
601	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101445997	101446044	101418909	101419000	101486025	101486092
602	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101445997	101446044	101418909	101419000	101487192	101487272
603	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101445997	101446044	101444051	101444155	101487192	101487272
604	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101486022	101486092	101418909	101419000	101487192	101487272
605	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101486022	101486092	101445997	101446044	101487192	101487272
606	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101486025	101486092	101418909	101419000	101487192	101487272
607	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101486025	101486092	101445997	101446044	101487192	101487272
614	"ENSG00000257529.5"	"RPL36A-HNRNPH2"	chrX	+	101391754	101391822	101391458	101391564	101395334	101395457
617	"ENSG00000241343.9"	"RPL36A"	chrX	+	101395334	101395457	101391754	101391822	101395727	101395786
620	"ENSG00000102384.13"	"CENPI"	chrX	+	101098711	101098843	101098443	101098539	101101057	101101205
621	"ENSG00000102384.13"	"CENPI"	chrX	+	101099808	101100065	101098443	101098539	101101057	101101295
622	"ENSG00000102384.13"	"CENPI"	chrX	+	101126708	101126798	101120737	101120784	101127137	101127266
623	"ENSG00000102384.13"	"CENPI"	chrX	+	101161527	101161569	101147942	101148161	101162832	101162987
631	"ENSG00000147202.18"	"DIAPH2"	chrX	+	96735757	96735790	96684662	96685190	96738585	96738762
632	"ENSG00000147202.18"	"DIAPH2"	chrX	+	96758153	96758258	96738585	96738762	96763099	96763120
633	"ENSG00000147202.18"	"DIAPH2"	chrX	+	96758153	96758258	96738585	96738762	96881578	96881718
634	"ENSG00000147202.18"	"DIAPH2"	chrX	+	96763099	96763120	96738585	96738762	96881578	96881718
641	"ENSG00000188419.14"	"CHM"	chrX	-	85878964	85879063	85873051	85873212	85894187	85894284
642	"ENSG00000188419.14"	"CHM"	chrX	-	85981736	85981809	85978655	85978891	86027490	86027557
643	"ENSG00000147180.16"	"ZNF711"	chrX	+	85245902	85246022	85244031	85244191	85247546	85247651
645	"ENSG00000147180.16"	"ZNF711"	chrX	+	85255258	85255801	85246929	85247651	85264274	85264430
647	"ENSG00000147180.16"	"ZNF711"	chrX	+	85268293	85268341	85265117	85265255	85270002	85270146
648	"ENSG00000155008.14"	"APOOL"	chrX	+	85074273	85074391	85073997	85074111	85087589	85093315
653	"ENSG00000072133.11"	"RPS6KA6"	chrX	-	84186060	84186170	84164327	84164387	84187818	84187898
656	"ENSG00000187325.5"	"TAF9B"	chrX	-	78137748	78137883	78136914	78136990	78137961	78138098
657	"ENSG00000187325.5"	"TAF9B"	chrX	-	78138842	78138924	78137748	78138098	78139560	78139622
659	"ENSG00000131174.7"	"COX7B"	chrX	+	77902642	77902767	77899467	77899593	77905183	77905385
660	"ENSG00000131174.7"	"COX7B"	chrX	+	77902649	77902767	77899484	77899593	77905183	77905461
663	"ENSG00000280870.3"	"AC233296.1"	chrX	-	76781182	76781292	76717511	76717737	77014226	77014284
666	"ENSG00000102390.11"	"PBDC1"	chrX	+	76173584	76173650	76173039	76173168	76174889	76174949
667	"ENSG00000102390.11"	"PBDC1"	chrX	+	76174889	76174949	76173584	76173650	76175472	76175613
668	"ENSG00000102390.11"	"PBDC1"	chrX	+	76175472	76175613	76174889	76174949	76176880	76176992
670	"ENSG00000131269.19"	"ABCB7"	chrX	-	75065069	75065241	75062327	75062431	75070364	75070522
671	"ENSG00000131269.19"	"ABCB7"	chrX	-	75069006	75069136	75065069	75065241	75069290	75069454
672	"ENSG00000131269.19"	"ABCB7"	chrX	-	75069006	75069136	75065069	75065241	75070364	75070522
673	"ENSG00000131269.19"	"ABCB7"	chrX	-	75069290	75069454	75065069	75065241	75070364	75070522
674	"ENSG00000131269.19"	"ABCB7"	chrX	-	75069290	75069454	75069006	75069136	75070364	75070522
693	"ENSG00000225470.8"	"JPX"	chrX	+	73962730	73962801	73944583	73944662	74004269	74004529
696	"ENSG00000225470.8"	"JPX"	chrX	+	73962730	73962801	73946998	73947374	74004269	74004529
