ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
70	"ENSG00000120509.10"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	70	3,5,1	6,1,4	4,0,2	8,11,13	298	149	0.0532533847895	0.448768152862	0.2,0.714,0.111	0.2,0.0,0.071	0.251
77	"ENSG00000204271.13"	"SPIN3"	chrX	-	56993786	56994949	56993786	56993888	56994722	56994949	77	18,26,18	2,2,1	12,23,19	1,0,0	298	149	0.00781988481158	0.131689412049	0.818,0.867,0.9	0.857,1.0,1.0	-0.091
78	"ENSG00000102349.18"	"KLF8"	chrX	+	56265179	56269489	56265179	56265744	56269377	56269489	78	0,1,0	1,2,1	0,0,3	2,1,0	298	149	0.182013294738	0.906661844007	0.0,0.2,0.0	0.0,0.0,1.0	-0.267
83	"ENSG00000179222.17"	"MAGED1"	chrX	+	51897794	51898193	51897794	51897886	51898113	51898193	83	2,0,2	53,55,53	0,2,2	73,41,52	298	149	1	1.0	0.019,0.0,0.019	0.0,0.024,0.019	-0.002
84	"ENSG00000179222.17"	"MAGED1"	chrX	+	51901552	51902354	51901552	51901938	51902145	51902354	84	21,10,11	6,5,5	14,16,11	3,3,3	298	149	0.202500195419	0.958914706384	0.636,0.5,0.524	0.7,0.727,0.647	-0.138
86	"ENSG00000012211.13"	"PRICKLE3"	chrX	-	49177992	49178475	49177992	49178179	49178271	49178475	86	0,0,1	7,10,4	0,0,3	7,10,15	241	149	0.846938770533	1.0	0.0,0.0,0.134	0.0,0.0,0.11	0.008
87	"ENSG00000269313.5"	"MAGIX"	chrX	+	49164706	49165090	49164706	49164789	49164862	49165090	87	0,2,0	2,0,0	0,1,3	0,1,0	222	149	1	1.0	0.0,1.0,NA	NA,0.402,1.0	-0.201
88	"ENSG00000269313.5"	"MAGIX"	chrX	+	49164706	49165090	49164706	49164789	49164907	49165090	88	0,2,1	0,1,0	0,1,3	0,1,0	267	149	1	1.0	NA,0.527,1.0	NA,0.358,1.0	0.085
89	"ENSG00000068308.13"	"OTUD5"	chrX	-	48934463	48934867	48934463	48934612	48934695	48934867	89	11,13,13	0,2,2	12,7,6	3,2,0	232	149	0.451440114839	1.0	1.0,0.807,0.807	0.72,0.692,1.0	0.067
90	"ENSG00000068308.13"	"OTUD5"	chrX	-	48934463	48934867	48934463	48934612	48934710	48934867	90	11,13,13	191,167,193	12,7,6	166,117,170	247	149	0.416057783248	1.0	0.034,0.045,0.039	0.042,0.035,0.021	0.007
91	"ENSG00000126768.12"	"TIMM17B"	chrX	-	48893899	48894225	48893899	48894010	48894096	48894225	91	0,3,1	68,35,35	1,0,2	50,25,57	235	149	1	1.0	0.0,0.052,0.018	0.013,0.0,0.022	0.012
92	"ENSG00000102103.16"	"PQBP1"	chrX	+	48902232	48902795	48902232	48902384	48902731	48902795	92	1915,1750,1359	0,1,1	1724,1675,2082	5,1,1	298	149	1	1.0	1.0,0.999,0.999	0.994,0.999,0.999	0.002
93	"ENSG00000102103.16"	"PQBP1"	chrX	+	48902232	48902795	48902232	48902517	48902731	48902795	93	74,101,60	259,225,196	108,86,123	266,223,254	298	149	0.100134380705	0.650391441299	0.125,0.183,0.133	0.169,0.162,0.195	-0.028
94	"ENSG00000102103.16"	"PQBP1"	chrX	+	48902232	48903084	48902232	48902795	48902927	48903084	94	21,17,20	125,93,87	21,16,26	119,103,110	281	149	0.955871233538	1.0	0.082,0.088,0.109	0.086,0.076,0.111	0.002
95	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	95	109,125,133	75,76,63	116,126,134	56,53,57	298	149	0.0723426665623	0.538090124423	0.421,0.451,0.514	0.509,0.543,0.54	-0.069
96	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48575814	48576083	96	43,27,42	9,12,4	23,28,17	11,2,8	296	149	0.597190106883	1.0	0.706,0.531,0.841	0.513,0.876,0.517	0.057
97	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48575921	48576083	97	86,109,74	0,0,0	73,76,67	1,0,1	298	149	1	1.0	1.0,1.0,1.0	0.973,1.0,0.971	0.019
101	"ENSG00000102226.9"	"USP11"	chrX	+	47239350	47239907	47239350	47239481	47239789	47239907	101	3,2,6	82,65,110	2,5,4	88,103,70	298	149	1	1.0	0.018,0.015,0.027	0.011,0.024,0.028	-0.001
102	"ENSG00000102226.9"	"USP11"	chrX	+	47247071	47247419	47247071	47247221	47247303	47247419	102	2,11,4	13,13,6	3,2,5	10,15,15	231	149	0.130098981562	0.755177347812	0.09,0.353,0.301	0.162,0.079,0.177	0.109
103	"ENSG00000102226.9"	"USP11"	chrX	+	47247303	47247699	47247303	47247419	47247610	47247699	103	3,8,3	15,8,13	17,14,26	14,12,17	298	149	0.00118696546688	0.0382796652995	0.091,0.333,0.103	0.378,0.368,0.433	-0.217
105	"ENSG00000102225.16"	"CDK16"	chrX	+	47225964	47226703	47225964	47226027	47226582	47226703	105	16,14,19	0,2,0	7,10,12	3,0,2	298	149	0.0144217080545	0.196420558085	1.0,0.778,1.0	0.538,1.0,0.75	0.163
106	"ENSG00000102225.16"	"CDK16"	chrX	+	47226993	47227223	47226993	47227099	47227159	47227223	106	0,4,5	2,3,0	6,0,3	2,0,2	209	149	1	1.0	0.0,0.487,1.0	0.681,NA,0.517	-0.103
107	"ENSG00000102225.16"	"CDK16"	chrX	+	47226993	47227223	47226993	47227099	47227180	47227223	107	1,10,5	136,107,120	7,0,4	109,106,93	230	149	0.512182064477	1.0	0.005,0.057,0.026	0.04,0.0,0.027	0.007
108	"ENSG00000102225.16"	"CDK16"	chrX	+	47228566	47228990	47228566	47228644	47228730	47228990	108	0,3,0	57,39,33	3,3,1	55,37,45	235	149	0.239802656193	1.0	0.0,0.047,0.0	0.033,0.049,0.014	-0.016
110	"ENSG00000156313.14"	"RPGR"	chrX	-	38287093	38288041	38287093	38287245	38287860	38288041	110	91,96,105	266,280,251	51,79,71	265,239,282	298	149	0.00594073472753	0.109403576115	0.146,0.146,0.173	0.088,0.142,0.112	0.041
111	"ENSG00000156313.14"	"RPGR"	chrX	-	38287093	38288041	38287093	38287245	38287864	38288041	111	89,103,116	8,7,2	59,87,73	4,1,8	298	149	0.878666442149	1.0	0.848,0.88,0.967	0.881,0.978,0.82	0.005
112	"ENSG00000102054.17"	"RBBP7"	chrX	-	16845827	16849301	16845827	16845938	16849243	16849301	112	4,7,1	468,354,278	3,5,1	490,444,476	298	149	1	1.0	0.004,0.01,0.002	0.003,0.006,0.001	0.002
113	"ENSG00000165195.15"	"PIGA"	chrX	-	15324664	15325152	15324664	15324871	15325019	15325152	113	2,0,0	1,3,5	0,0,0	3,3,2	297	149	0.821176720937	1.0	0.501,0.0,0.0	0.0,0.0,0.0	0.167
114	"ENSG00000165195.15"	"PIGA"	chrX	-	15331215	15331992	15331215	15331299	15331873	15331992	114	12,8,11	0,0,0	12,13,14	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.875	0.042
116	"ENSG00000005302.19"	"MSL3"	chrX	+	11759633	11759875	11759633	11759712	11759792	11759875	116	47,49,50	24,17,27	44,69,49	20,24,24	229	149	0.678657145594	1.0	0.56,0.652,0.546	0.589,0.652,0.571	-0.018
117	"ENSG00000005302.19"	"MSL3"	chrX	+	11760836	11762252	11760836	11760937	11762129	11762252	117	5,4,1	0,1,0	5,2,2	0,0,1	298	149	1	1.0	1.0,0.667,1.0	1.0,1.0,0.5	0.056
118	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765466	11765729	118	24,29,31	30,48,31	33,30,26	30,37,40	298	149	0.749858474138	1.0	0.286,0.232,0.333	0.355,0.288,0.245	-0.012
119	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765469	11765729	119	24,31,30	0,0,2	33,30,26	0,1,0	298	149	1	1.0	1.0,1.0,0.882	1.0,0.938,1.0	-0.019
120	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765521	11765729	120	16,18,23	0,0,0	19,18,16	2,0,0	298	149	1	1.0	1.0,1.0,1.0	0.826,1.0,1.0	0.058
121	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11768682	11763779	11765729	11768572	11768682	121	12,3,2	18,11,17	2,3,4	18,22,23	298	149	0.0400655172999	0.374889507458	0.25,0.12,0.056	0.053,0.064,0.08	0.076
123	"ENSG00000100299.18"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406	123	4,5,6	2,0,0	3,6,9	0,0,0	298	149	0.78024980719	1.0	0.5,1.0,1.0	1.0,1.0,1.0	-0.167
124	"ENSG00000100299.18"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	124	34,24,29	0,1,1	27,29,26	1,2,0	298	149	1	1.0	1.0,0.923,0.935	0.931,0.879,1.0	0.016
125	"ENSG00000205560.12"	"CPT1B"	chr22	-	50571157	50571539	50571157	50571292	50571374	50571539	125	7,15,10	72,84,54	8,14,7	67,28,82	231	149	0.737728222165	1.0	0.059,0.103,0.107	0.072,0.244,0.052	-0.033
128	"ENSG00000025770.19"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	128	3,4,5	55,47,46	4,3,4	58,34,48	217	149	0.927235718979	1.0	0.036,0.055,0.069	0.045,0.057,0.054	0.001
130	"ENSG00000196576.15"	"PLXNB2"	chr22	-	50277852	50278013	50277852	50277964	50277966	50278013	130	1051,989,1021	2,0,0	895,796,886	0,0,0	151	149	1	1.0	0.998,1.0,1.0	1.0,1.0,1.0	-0.001
135	"ENSG00000196576.15"	"PLXNB2"	chr22	-	50281359	50281742	50281359	50281499	50281565	50281742	135	81,89,110	752,637,763	52,70,79	577,582,531	215	149	0.466683825996	1.0	0.069,0.088,0.091	0.059,0.077,0.093	0.006
136	"ENSG00000188130.14"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199	136	13,6,5	0,0,0	14,25,9	1,0,0	298	149	1	1.0	1.0,1.0,1.0	0.875,1.0,1.0	0.042
137	"ENSG00000128159.12"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	137	9,9,3	6,4,5	6,2,10	5,2,3	220	149	0.640794587791	1.0	0.504,0.604,0.289	0.448,0.404,0.693	-0.049
138	"ENSG00000128159.12"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791	138	1,0,1	3,1,2	2,3,0	9,5,7	298	149	0.111473144927	0.69026268543	0.143,0.0,0.2	0.1,0.231,0.0	0.004
139	"ENSG00000128159.12"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220191	50221874	139	27,41,32	4,0,1	20,31,29	1,1,0	298	149	1	1.0	0.771,1.0,0.941	0.909,0.939,1.0	-0.045
140	"ENSG00000128159.12"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220250	50221874	140	29,48,33	25,14,17	27,34,36	24,32,26	298	149	0.0886042327795	0.60583510729	0.367,0.632,0.493	0.36,0.347,0.409	0.125
143	"ENSG00000186654.21"	"PRR5"	chr22	+	44702217	44702608	44702217	44702409	44702491	44702608	143	49,27,34	3,8,5	22,29,25	4,3,6	231	149	0.877084855766	1.0	0.913,0.685,0.814	0.78,0.862,0.729	0.014
149	"ENSG00000237037.9"	"NDUFA6-DT"	chr22	+	42124046	42124562	42124046	42124130	42124519	42124562	149	1,0,0	0,0,0	0,0,0	4,0,1	298	149	1	1.0	1.0,NA,NA	0.0,NA,0.0	1.0
150	"ENSG00000237037.9"	"NDUFA6-DT"	chr22	+	42136198	42136714	42136198	42136282	42136671	42136714	150	0,0,4	0,0,1	0,0,2	1,0,1	298	149	1	1.0	NA,NA,0.667	0.0,NA,0.5	0.417
151	"ENSG00000184208.12"	"C22orf46"	chr22	+	41693462	41698136	41693462	41693851	41693937	41698136	151	54,103,81	49,34,34	45,59,55	32,22,31	235	149	0.824596698143	1.0	0.411,0.658,0.602	0.471,0.63,0.529	0.014
152	"ENSG00000100395.15"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	152	2,1,1	13,21,20	2,3,1	25,7,24	298	149	0.837534231712	1.0	0.071,0.023,0.024	0.038,0.176,0.02	-0.039
153	"ENSG00000100395.15"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	153	5,6,13	181,175,153	5,2,9	168,150,182	298	149	0.210523175256	0.979420708413	0.014,0.017,0.041	0.015,0.007,0.024	0.009
154	"ENSG00000100359.21"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407200	40407328	154	11,18,14	149,131,151	13,8,14	121,121,140	278	149	0.700256538333	1.0	0.038,0.069,0.047	0.054,0.034,0.051	0.005
155	"ENSG00000100359.21"	"SGSM3"	chr22	+	40407016	40407568	40407016	40407328	40407412	40407568	155	37,43,37	179,179,141	22,22,28	170,178,159	233	149	0.0045896735975	0.0933571898892	0.117,0.133,0.144	0.076,0.073,0.101	0.048
156	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408793	40409372	40408793	40408842	40408932	40409372	156	11,12,9	46,48,30	7,5,10	43,36,53	239	149	0.138047736334	0.779561421781	0.13,0.135,0.158	0.092,0.08,0.105	0.049
157	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408932	40409372	40408932	40409018	40409249	40409372	157	61,59,51	31,15,24	53,75,53	22,21,30	298	149	0.995804912427	1.0	0.496,0.663,0.515	0.546,0.641,0.469	0.006
158	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408932	40409372	40408932	40409018	40409339	40409372	158	77,77,62	2,0,1	79,76,82	0,1,1	298	149	0.639111713679	1.0	0.951,1.0,0.969	1.0,0.974,0.976	-0.01
159	"ENSG00000128272.14"	"ATF4"	chr22	+	39520563	39521671	39520563	39520751	39521353	39521671	159	267,233,235	5402,5480,4157	233,253,231	4298,4087,4596	298	149	0.244744648558	1.0	0.024,0.021,0.027	0.026,0.03,0.025	-0.003
160	"ENSG00000100316.16"	"RPL3"	chr22	-	39312883	39313310	39312883	39312984	39313190	39313310	160	60,152,43	10868,9862,7797	87,76,101	10775,9285,11280	298	149	1	1.0	0.003,0.008,0.003	0.004,0.004,0.004	0.001
161	"ENSG00000100316.16"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208	161	947,945,595	37,34,20	939,721,1032	13,16,20	298	149	0.00026082222824	0.0131640425869	0.928,0.933,0.937	0.973,0.958,0.963	-0.032
162	"ENSG00000100201.21"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	162	386,503,497	273,299,267	265,349,349	315,329,385	298	149	3.49205433459e-08	1.47241015995e-05	0.414,0.457,0.482	0.296,0.347,0.312	0.133
168	"ENSG00000100360.15"	"IFT27"	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036	168	19,29,23	0,0,0	23,19,40	3,0,0	298	149	0.758720742958	1.0	1.0,1.0,1.0	0.793,1.0,1.0	0.069
169	"ENSG00000100360.15"	"IFT27"	chr22	-	36775673	36776125	36775673	36775794	36776030	36776125	169	32,39,41	8,2,0	32,27,22	2,2,0	298	149	0.13496839507	0.770122736911	0.667,0.907,1.0	0.889,0.871,1.0	-0.062
170	"ENSG00000100353.18"	"EIF3D"	chr22	-	36525663	36526131	36525663	36525709	36525998	36526131	170	81,76,71	1386,1248,1094	57,53,42	1147,1109,1133	298	149	0.0196528173145	0.240189232867	0.028,0.03,0.031	0.024,0.023,0.018	0.008
174	"ENSG00000100225.18"	"FBXO7"	chr22	+	32487744	32493281	32487744	32487828	32493104	32493281	174	4,13,11	1,0,0	4,7,0	2,0,1	298	149	0.250749331002	1.0	0.667,1.0,1.0	0.5,1.0,0.0	0.389
175	"ENSG00000198089.16"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31606327	31606430	175	14,9,3	44,40,27	4,7,3	25,28,34	298	149	0.250064764163	1.0	0.137,0.101,0.053	0.074,0.111,0.042	0.021
176	"ENSG00000198089.16"	"SFI1"	chr22	+	31618114	31618547	31618114	31618226	31618313	31618547	176	1,7,3	16,15,10	4,2,1	10,12,25	236	149	0.240309499537	1.0	0.038,0.228,0.159	0.202,0.095,0.025	0.034
179	"ENSG00000185133.14"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532	179	13,4,2	0,2,1	3,5,5	2,0,0	298	149	0.643969409895	1.0	1.0,0.5,0.5	0.429,1.0,1.0	-0.143
180	"ENSG00000185133.14"	"INPP5J"	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696	180	0,0,1	10,6,8	0,0,1	5,6,9	298	149	1	1.0	0.0,0.0,0.059	0.0,0.0,0.053	0.002
182	"ENSG00000198832.10"	"SELENOM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	182	0,0,4	9,7,12	1,0,2	9,6,7	298	149	0.696053489588	1.0	0.0,0.0,0.143	0.053,0.0,0.125	-0.012
183	"ENSG00000183963.18"	"SMTN"	chr22	+	31080449	31080754	31080449	31080569	31080675	31080754	183	7,5,3	5,2,2	5,12,3	1,1,2	255	149	0.0564893954271	0.461003578246	0.45,0.594,0.467	0.745,0.875,0.467	-0.192
184	"ENSG00000183963.18"	"SMTN"	chr22	+	31096997	31097338	31096997	31097060	31097268	31097338	184	16,13,5	128,115,112	11,13,10	91,99,130	298	149	0.723655611486	1.0	0.059,0.053,0.022	0.057,0.062,0.037	-0.007
185	"ENSG00000183963.18"	"SMTN"	chr22	+	31099061	31099896	31099061	31099179	31099744	31099896	185	0,0,1	12,17,20	1,0,0	20,11,10	298	149	1	1.0	0.0,0.0,0.024	0.024,0.0,0.0	0.0
186	"ENSG00000100003.18"	"SEC14L2"	chr22	+	30415758	30416087	30415758	30415865	30415947	30416087	186	0,0,0	11,8,6	0,1,1	16,8,9	231	149	1	1.0	0.0,0.0,0.0	0.0,0.075,0.067	-0.047
187	"ENSG00000099999.15"	"RNF215"	chr22	-	30379481	30379780	30379481	30379622	30379710	30379780	187	1,1,1	24,20,18	2,1,0	23,15,18	237	149	1	1.0	0.026,0.03,0.034	0.052,0.04,0.0	-0.001
188	"ENSG00000187860.10"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30371649	30371727	188	2,1,0	31,32,7	3,1,1	16,15,11	298	149	0.226962200154	1.0	0.031,0.015,0.0	0.086,0.032,0.043	-0.038
189	"ENSG00000099992.15"	"TBC1D10A"	chr22	-	30293650	30294110	30293650	30293805	30293920	30294110	189	2,4,2	19,8,17	0,1,2	21,17,27	264	149	0.0192418281227	0.236738820289	0.056,0.22,0.062	0.0,0.032,0.04	0.089
190	"ENSG00000100325.15"	"ASCC2"	chr22	-	29793359	29793676	29793359	29793490	29793576	29793676	190	8,14,6	280,253,230	3,17,10	230,167,244	235	149	0.414184673443	1.0	0.018,0.034,0.016	0.008,0.061,0.025	-0.009
