ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
468	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927815	49929416	49929504
469	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927848	49929416	49929504
569	"ENSG00000187994"	"RINL"	chr19	-	38871077	38871870	38871077	38871227	38871797	38871870
640	"ENSG00000104886"	"PLEKHJ1"	chr19	-	2234149	2235990	2234149	2234240	2235922	2235990
642	"ENSG00000105426"	"PTPRS"	chr19	-	5218419	5219467	5218419	5218532	5219309	5219467
654	"ENSG00000064932"	"SBNO2"	chr19	-	1109134	1109598	1109134	1109211	1109505	1109598
660	"ENSG00000099622"	"CIRBP"	chr19	+	1271139	1271632	1271139	1271246	1271550	1271632
683	"ENSG00000197114"	"ZGPAT"	chr20	+	63733586	63734824	63733586	63733712	63734644	63734824
697	"ENSG00000064601"	"CTSA"	chr20	+	45894993	45898109	45894993	45895138	45896964	45898109
698	"ENSG00000064601"	"CTSA"	chr20	+	45894993	45897806	45894993	45895133	45897716	45897806
706	"ENSG00000124228"	"DDX27"	chr20	+	49233567	49236231	49233567	49233709	49236149	49236231
729	"ENSG00000214078"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
762	"ENSG00000149636"	"DSN1"	chr20	-	36770872	36771473	36770872	36771024	36771424	36771473
803	"ENSG00000088340"	"FER1L4"	chr20	-	35559340	35560638	35559340	35559627	35560539	35560638
900	"ENSG00000165280"	"VCP"	chr9	-	35059492	35060923	35059492	35059801	35060800	35060923
938	"ENSG00000039650"	"PNKP"	chr19	-	49861448	49861881	49861448	49861510	49861771	49861881
972	"ENSG00000122952"	"ZWINT"	chr10	-	56359686	56360383	56359686	56359853	56360292	56360383
1021	"ENSG00000079134"	"THOC1"	chr18	-	224923	225403	224923	224994	225336	225403
1080	"ENSG00000102225"	"CDK16"	chrX	+	47225964	47226703	47225964	47226027	47226582	47226703
1098	"ENSG00000089195"	"TRMT6"	chr20	-	5941052	5942036	5941052	5941139	5941950	5942036
1145	"ENSG00000106462"	"EZH2"	chr7	-	148816683	148818117	148816683	148816778	148817876	148818117
1173	"ENSG00000135317"	"SNX14"	chr6	-	85541984	85545989	85541984	85542043	85543604	85545989
1176	"ENSG00000231500"	"RPS18"	chr6	+	33275964	33276510	33275964	33276066	33276390	33276510
1190	"ENSG00000186088"	"GSAP"	chr7	-	77329332	77330367	77329332	77329391	77330181	77330367
1202	"ENSG00000112739"	"PRPF4B"	chr6	+	4060412	4062299	4060412	4060686	4061654	4062299
1203	"ENSG00000112739"	"PRPF4B"	chr6	+	4060412	4062299	4060412	4061147	4062212	4062299
1215	"ENSG00000132424"	"PNISR"	chr6	-	99414571	99416428	99414571	99414686	99416348	99416428
1238	"ENSG00000204435"	"CSNK2B"	chr6	+	31666820	31668654	31666820	31666903	31668538	31668654
1262	"ENSG00000188257"	"PLA2G2A"	chr1	-	19978014	19978879	19978014	19978121	19978733	19978879
1303	"ENSG00000147133"	"TAF1"	chrX	+	71423116	71424066	71423116	71423264	71424016	71424066
1367	"ENSG00000214087"	"ARL16"	chr17	-	81682033	81683594	81682033	81682675	81683535	81683594
1390	"ENSG00000145191"	"EIF2B5"	chr3	+	184143051	184144224	184143051	184143142	184144098	184144224
1401	"ENSG00000174080"	"CTSF"	chr11	-	66564087	66564806	66564087	66564146	66564741	66564806
1473	"ENSG00000114626"	"ABTB1"	chr3	+	127676535	127677286	127676535	127676581	127677167	127677286
1636	"ENSG00000204713"	"TRIM27"	chr6	-	28903001	28908840	28903001	28904665	28908807	28908840
1729	"ENSG00000073584"	"SMARCE1"	chr17	-	40630713	40632367	40630713	40630924	40632194	40632367
1743	"ENSG00000198830"	"HMGN2"	chr1	+	26473482	26474135	26473482	26473527	26474084	26474135
1749	"ENSG00000160695"	"VPS11"	chr11	+	119078172	119078997	119078172	119078334	119078794	119078997
1848	"ENSG00000168765"	"GSTM4"	chr1	+	109656711	109657671	109656711	109656787	109657589	109657671
1899	"ENSG00000122566"	"HNRNPA2B1"	chr7	-	26191421	26192338	26191421	26191650	26192300	26192338
1900	"ENSG00000122566"	"HNRNPA2B1"	chr7	-	26189932	26192577	26189932	26190460	26192494	26192577
1905	"ENSG00000122566"	"HNRNPA2B1"	chr7	-	26190992	26193694	26190992	26192577	26193574	26193694
1913	"ENSG00000160602"	"NEK8"	chr17	+	28737305	28737736	28737305	28737579	28737674	28737736
1927	"ENSG00000084207"	"GSTP1"	chr11	+	67584133	67585241	67584133	67584169	67585137	67585241
1996	"ENSG00000085998"	"POMGNT1"	chr1	-	46193304	46193925	46193304	46193388	46193854	46193925
2013	"ENSG00000096746"	"HNRNPH3"	chr10	+	68341173	68341851	68341173	68341309	68341758	68341851
2055	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547240	35546671	35546808	35547118	35547240
2071	"ENSG00000100316"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208
2094	"ENSG00000185133"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532
2130	"ENSG00000103253"	"HAGHL"	chr16	+	728793	729715	728793	728895	729287	729715
2158	"ENSG00000215126"	"CBWD6"	chr9	-	41131355	41133570	41131355	41131840	41133504	41133570
2174	"ENSG00000187193"	"MT1X"	chr16	+	56682469	56684196	56682469	56682568	56683957	56684196
2184	"ENSG00000164610"	"RP9"	chr7	-	33097270	33100561	33097270	33097362	33100530	33100561
2231	"ENSG00000163516"	"ANKZF1"	chr2	+	219234132	219235875	219234132	219234288	219235707	219235875
2232	"ENSG00000163516"	"ANKZF1"	chr2	+	219234132	219235875	219234132	219235312	219235707	219235875
2240	"ENSG00000185404"	"SP140L"	chr2	+	230400126	230401443	230400126	230400242	230401365	230401443
2265	"ENSG00000143303"	"RRNAD1"	chr1	+	156731990	156732473	156731990	156732115	156732365	156732473
2340	"ENSG00000203875"	"SNHG5"	chr6	-	85677423	85678188	85677423	85677875	85678135	85678188
2350	"ENSG00000103266"	"STUB1"	chr16	+	681792	682076	681792	681903	682058	682076
2353	"ENSG00000126456"	"IRF3"	chr19	-	49664673	49665857	49664673	49664950	49665483	49665857
2380	"ENSG00000197989"	"SNHG12"	chr1	-	28579911	28581229	28579911	28579981	28581110	28581229
2386	"ENSG00000103024"	"NME3"	chr16	-	1770880	1771410	1770880	1770993	1771279	1771410
2389	"ENSG00000103024"	"NME3"	chr16	-	1771069	1771410	1771069	1771171	1771304	1771410
2391	"ENSG00000240065"	"PSMB9"	chr6	+	32856137	32858134	32856137	32856205	32858004	32858134
2417	"ENSG00000143811"	"PYCR2"	chr1	-	225921857	225923771	225921857	225922079	225923700	225923771
2434	"ENSG00000005448"	"WDR54"	chr2	+	74423318	74423982	74423318	74423385	74423854	74423982
2443	"ENSG00000116688"	"MFN2"	chr1	+	11981809	11982114	11981809	11981853	11981973	11982114
2520	"ENSG00000160818"	"GPATCH4"	chr1	-	156596080	156598121	156596080	156596131	156598034	156598121
2575	"ENSG00000142910"	"TINAGL1"	chr1	+	31585439	31586755	31585439	31585485	31586709	31586755
2690	"ENSG00000114062"	"UBE3A"	chr15	-	25407066	25409207	25407066	25407137	25409087	25409207
2691	"ENSG00000114062"	"UBE3A"	chr15	-	25407066	25409207	25407066	25407212	25409087	25409207
2692	"ENSG00000114062"	"UBE3A"	chr15	-	25407066	25409207	25407066	25407228	25409087	25409207
2721	"ENSG00000234741"	"GAS5"	chr1	-	173864256	173865282	173864256	173864304	173865228	173865282
2734	"ENSG00000131652"	"THOC6"	chr16	+	3025923	3026288	3025923	3025988	3026250	3026288
2765	"ENSG00000196873"	"CBWD3"	chr9	+	68297751	68299965	68297751	68297817	68299480	68299965
2769	"ENSG00000082512"	"TRAF5"	chr1	+	211356366	211360779	211356366	211356468	211360701	211360779
2835	"ENSG00000136155"	"SCEL"	chr13	+	77602064	77603135	77602064	77602124	77603075	77603135
2837	"ENSG00000135476"	"ESPL1"	chr12	+	53289403	53290469	53289403	53289594	53290346	53290469
2874	"ENSG00000255717"	"SNHG1"	chr11	-	62852810	62855216	62852810	62853115	62855132	62855216
2877	"ENSG00000255717"	"SNHG1"	chr11	-	62853800	62855837	62853800	62854551	62855423	62855837
2886	"ENSG00000149927"	"DOC2A"	chr16	-	30007030	30009105	30007030	30007090	30008995	30009105
2951	"ENSG00000173540"	"GMPPB"	chr3	-	49722595	49723302	49722595	49722754	49723253	49723302
2988	"ENSG00000178038"	"ALS2CL"	chr3	-	46679209	46681407	46679209	46679287	46681245	46681407
3014	"ENSG00000142327"	"RNPEPL1"	chr2	+	240573774	240574628	240573774	240573891	240574514	240574628
3037	"ENSG00000110172"	"CHORDC1"	chr11	-	90210535	90214175	90210535	90210594	90214017	90214175
3123	"ENSG00000205593"	"DENND6B"	chr22	-	50316024	50316475	50316024	50316087	50316369	50316475
3127	"ENSG00000247596"	"TWF2"	chr3	-	52229660	52230995	52229660	52229782	52230869	52230995
3157	"ENSG00000171772"	"SYCE1"	chr10	-	133558876	133560153	133558876	133558951	133560090	133560153
3165	"ENSG00000178035"	"IMPDH2"	chr3	-	49024494	49025040	49024494	49024578	49024895	49025040
3207	"ENSG00000214944"	"ARHGEF28"	chr5	+	73897961	73904260	73897961	73898093	73904221	73904260
3226	"ENSG00000132781"	"MUTYH"	chr1	-	45332762	45333170	45332762	45332834	45333096	45333170
3257	"ENSG00000185359"	"HGS"	chr17	+	81696606	81696998	81696606	81696699	81696829	81696998
3288	"ENSG00000006282"	"SPATA20"	chr17	+	50550997	50552180	50550997	50551190	50551968	50552180
3323	"ENSG00000265241"	"RBM8A"	chr1	-	145926481	145927077	145926481	145926618	145927017	145927077
3350	"ENSG00000113597"	"TRAPPC13"	chr5	+	65660698	65664384	65660698	65660897	65664233	65664384
3351	"ENSG00000113597"	"TRAPPC13"	chr5	+	65660698	65664384	65660698	65660897	65664236	65664384
3381	"ENSG00000162927"	"PUS10"	chr2	-	60965057	60967613	60965057	60965103	60967501	60967613
3384	"ENSG00000126581"	"BECN1"	chr17	-	42818543	42819609	42818543	42818680	42819547	42819609
3395	"ENSG00000115282"	"TTC31"	chr2	+	74490243	74491184	74490243	74490473	74491127	74491184
3463	"ENSG00000090520"	"DNAJB11"	chr3	+	186577667	186582077	186577667	186577800	186581994	186582077
3705	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64501143	64500548	64500882	64501056	64501143
3706	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64502069	64500548	64500773	64501260	64502069
3712	"ENSG00000108654"	"DDX5"	chr17	-	64502161	64503098	64502161	64502223	64502925	64503098
3715	"ENSG00000108654"	"DDX5"	chr17	-	64503429	64504116	64503429	64503571	64503982	64504116
3725	"ENSG00000115464"	"USP34"	chr2	-	61236025	61236389	61236025	61236073	61236324	61236389
3727	"ENSG00000198677"	"TTC37"	chr5	-	95516524	95517060	95516524	95516586	95516915	95517060
3754	"ENSG00000162772"	"ATF3"	chr1	+	212615021	212615261	212615021	212615060	212615151	212615261
3760	"ENSG00000127837"	"AAMP"	chr2	-	218265578	218266587	218265578	218265682	218266442	218266587
3776	"ENSG00000265972"	"TXNIP"	chr1	-	145994280	145995031	145994280	145994437	145994928	145995031
3779	"ENSG00000166394"	"CYB5R2"	chr11	-	7668477	7672523	7668477	7668561	7672450	7672523
3906	"ENSG00000184056"	"VPS33B"	chr15	-	91006371	91007046	91006371	91006445	91006949	91007046
3924	"ENSG00000005884"	"ITGA3"	chr17	+	50076583	50077447	50076583	50076681	50077378	50077447
3974	"ENSG00000135541"	"AHI1"	chr6	-	135301407	135302817	135301407	135301539	135302669	135302817
3994	"ENSG00000284770"	"TBCE"	chr1	+	235435744	235436608	235435744	235435840	235436543	235436608
4058	"ENSG00000188313"	"PLSCR1"	chr3	-	146521543	146522053	146521543	146521701	146521832	146522053
4061	"ENSG00000164889"	"SLC4A2"	chr7	+	151074038	151074841	151074038	151074293	151074674	151074841
4071	"ENSG00000132199"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
4081	"ENSG00000131748"	"STARD3"	chr17	+	39659460	39660526	39659460	39659553	39660430	39660526
4101	"ENSG00000158411"	"MITD1"	chr2	-	99171342	99174016	99171342	99171429	99173914	99174016
4106	"ENSG00000156983"	"BRPF1"	chr3	+	9742024	9742541	9742024	9742171	9742351	9742541
4115	"ENSG00000176444"	"CLK2"	chr1	-	155263949	155264550	155263949	155264040	155264467	155264550
4226	"ENSG00000105373"	"NOP53"	chr19	+	47752511	47754891	47752511	47752544	47754708	47754891
4227	"ENSG00000105373"	"NOP53"	chr19	+	47752511	47754891	47752511	47752559	47754708	47754891
4235	"ENSG00000168291"	"PDHB"	chr3	-	58430656	58431793	58430656	58430942	58431730	58431793
4271	"ENSG00000143549"	"TPM3"	chr1	-	154170648	154172978	154170648	154170711	154172907	154172978
4333	"ENSG00000146205"	"ANO7"	chr2	+	241223185	241223955	241223185	241223276	241223904	241223955
4359	"ENSG00000198707"	"CEP290"	chr12	-	88118482	88120276	88118482	88118570	88120113	88120276
4373	"ENSG00000175054"	"ATR"	chr3	-	142465096	142468068	142465096	142465240	142467933	142468068
4407	"ENSG00000243708"	"PLA2G4B"	chr15	+	41841230	41841949	41841230	41841273	41841818	41841949
4512	"ENSG00000138002"	"IFT172"	chr2	-	27453629	27454418	27453629	27453739	27454353	27454418
4545	"ENSG00000088205"	"DDX18"	chr2	+	117826268	117829466	117826268	117826382	117829288	117829466
4558	"ENSG00000223705"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415770	75416102	75416191
4559	"ENSG00000223705"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415778	75416102	75416191
4563	"ENSG00000169764"	"UGP2"	chr2	+	63885588	63885886	63885588	63885677	63885770	63885886
4569	"ENSG00000143624"	"INTS3"	chr1	+	153746956	153748755	153746956	153747070	153748688	153748755
4623	"ENSG00000168763"	"CNNM3"	chr2	+	96827730	96829134	96827730	96827900	96828995	96829134
4686	"ENSG00000115053"	"NCL"	chr2	-	231457000	231459125	231457000	231457124	231458265	231459125
4720	"ENSG00000144591"	"GMPPA"	chr2	+	219500120	219502037	219500120	219500149	219501475	219502037
4729	"ENSG00000144591"	"GMPPA"	chr2	+	219504082	219505761	219504082	219504213	219505457	219505761
4735	"ENSG00000144591"	"GMPPA"	chr2	+	219505457	219506072	219505457	219505555	219505979	219506072
4756	"ENSG00000131143"	"COX4I1"	chr16	+	85804936	85807002	85804936	85805104	85806737	85807002
4855	"ENSG00000114388"	"NPRL2"	chr3	-	50349664	50350022	50349664	50349828	50349912	50350022
4862	"ENSG00000100911"	"PSME2"	chr14	-	24144399	24145273	24144399	24144468	24145242	24145273
4865	"ENSG00000100911"	"PSME2"	chr14	-	24145378	24146240	24145378	24145465	24146207	24146240
4883	"ENSG00000100888"	"CHD8"	chr14	-	21394911	21395892	21394911	21395119	21395816	21395892
4953	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406
4976	"ENSG00000184584"	"STING1"	chr5	-	139480789	139481704	139480789	139480898	139481477	139481704
4979	"ENSG00000171824"	"EXOSC10"	chr1	-	11076841	11077651	11076841	11076948	11077600	11077651
4986	"ENSG00000175455"	"CCDC14"	chr3	-	123955842	123956795	123955842	123955965	123956739	123956795
4987	"ENSG00000175455"	"CCDC14"	chr3	-	123955842	123956795	123955842	123956115	123956739	123956795
5018	"ENSG00000007384"	"RHBDF1"	chr16	-	63586	65039	63586	63800	64898	65039
5020	"ENSG00000184014"	"DENND5A"	chr11	-	9141939	9143485	9141939	9142108	9143402	9143485
5027	"ENSG00000184014"	"DENND5A"	chr11	-	9144096	9147151	9144096	9145113	9147029	9147151
5060	"ENSG00000044574"	"HSPA5"	chr9	-	125239420	125240907	125239420	125239533	125240675	125240907
5088	"ENSG00000143126"	"CELSR2"	chr1	+	109269932	109271039	109269932	109270133	109270926	109271039
5155	"ENSG00000090539"	"CHRD"	chr3	+	184386045	184386938	184386045	184386159	184386844	184386938
5186	"ENSG00000162191"	"UBXN1"	chr11	-	62676497	62677832	62676497	62677005	62677780	62677832
5296	"ENSG00000136450"	"SRSF1"	chr17	-	58004922	58005973	58004922	58005041	58005800	58005973
5300	"ENSG00000226067"	"LINC00623"	chr1	+	120952438	120953460	120952438	120952785	120953222	120953460
5306	"ENSG00000064687"	"ABCA7"	chr19	+	1041509	1042176	1041509	1041603	1042063	1042176
5308	"ENSG00000064687"	"ABCA7"	chr19	+	1056906	1058747	1056906	1057429	1058617	1058747
5374	"ENSG00000140854"	"KATNB1"	chr16	+	57736977	57737283	57736977	57737067	57737225	57737283
5393	"ENSG00000147050"	"KDM6A"	chrX	+	45082575	45083608	45082575	45082640	45083459	45083608
5495	"ENSG00000110844"	"PRPF40B"	chr12	+	49631859	49632880	49631859	49631925	49632854	49632880
5500	"ENSG00000082068"	"WDR70"	chr5	+	37721114	37725050	37721114	37721215	37724933	37725050
5604	"ENSG00000160948"	"VPS28"	chr8	-	144424945	144426208	144424945	144425772	144426179	144426208
5648	"ENSG00000104218"	"CSPP1"	chr8	+	67113804	67115264	67113804	67113862	67115196	67115264
5675	"ENSG00000147813"	"NAPRT"	chr8	-	143574784	143575345	143574784	143574900	143575190	143575345
5762	"ENSG00000092094"	"OSGEP"	chr14	-	20447614	20448171	20447614	20447690	20448105	20448171
5764	"ENSG00000104695"	"PPP2CB"	chr8	-	30799545	30799755	30799545	30799648	30799716	30799755
5795	"ENSG00000089157"	"RPLP0"	chr12	-	120199309	120201110	120199309	120199485	120201082	120201110
5832	"ENSG00000148362"	"PAXX"	chr9	+	136992639	136993243	136992639	136992700	136993052	136993243
5853	"ENSG00000170037"	"CNTROB"	chr17	+	7948486	7949578	7948486	7948619	7949384	7949578
5868	"ENSG00000187531"	"SIRT7"	chr17	-	81914293	81915512	81914293	81914530	81915439	81915512
5871	"ENSG00000156345"	"CDK20"	chr9	-	87969193	87970897	87969193	87969349	87970567	87970897
5892	"ENSG00000089009"	"RPL6"	chr12	-	112406746	112408656	112406746	112406890	112408419	112408656
5911	"ENSG00000213930"	"GALT"	chr9	+	34647491	34647961	34647491	34647567	34647831	34647961
5923	"ENSG00000147955"	"SIGMAR1"	chr9	-	34636996	34637420	34636996	34637112	34637266	34637420
5926	"ENSG00000160271"	"RALGDS"	chr9	-	133097719	133101762	133097719	133098762	133101519	133101762
6037	"ENSG00000167996"	"FTH1"	chr11	-	61967311	61967631	61967311	61967371	61967547	61967631
6116	"ENSG00000196323"	"ZBTB44"	chr11	-	130226676	130231715	130226676	130228356	130231638	130231715
6121	"ENSG00000109971"	"HSPA8"	chr11	-	123058251	123059261	123058251	123058484	123059058	123059261
6132	"ENSG00000198258"	"UBL5"	chr19	+	9828326	9828675	9828326	9828389	9828591	9828675
6295	"ENSG00000215301"	"DDX3X"	chrX	+	41342736	41344128	41342736	41342836	41344029	41344128
6369	"ENSG00000142102"	"PGGHG"	chr11	+	292885	293502	292885	292997	293365	293502
6376	"ENSG00000185101"	"ANO9"	chr11	-	419581	420860	419581	419729	420717	420860
6378	"ENSG00000185101"	"ANO9"	chr11	-	429569	430179	429569	429652	430082	430179
6396	"ENSG00000110330"	"BIRC2"	chr11	+	102348597	102350749	102348597	102348719	102349877	102350749
6443	"ENSG00000166340"	"TPP1"	chr11	-	6615441	6616859	6615441	6615562	6616314	6616859
6497	"ENSG00000133895"	"MEN1"	chr11	-	64806231	64807219	64806231	64806368	64807178	64807219
6503	"ENSG00000053900"	"ANAPC4"	chr4	+	25413644	25414504	25413644	25413742	25414465	25414504
6504	"ENSG00000053900"	"ANAPC4"	chr4	+	25415465	25417739	25415465	25415540	25417615	25417739
6529	"ENSG00000133816"	"MICAL2"	chr11	+	12259794	12263785	12259794	12259897	12263559	12263785
6543	"ENSG00000148444"	"COMMD3"	chr10	+	22318805	22320306	22318805	22318862	22319938	22320306
6567	"ENSG00000214279"	"SCART1"	chr10	+	133457278	133459326	133457278	133457575	133459020	133459326
6637	"ENSG00000167880"	"EVPL"	chr17	-	76017738	76018600	76017738	76017911	76018445	76018600
6651	"ENSG00000064703"	"DDX20"	chr1	+	111760705	111761284	111760705	111760848	111761225	111761284
6699	"ENSG00000135473"	"PAN2"	chr12	-	56323806	56324493	56323806	56323913	56324293	56324493
6820	"ENSG00000179532"	"DNHD1"	chr11	+	6565694	6566765	6565694	6565991	6566586	6566765
6822	"ENSG00000179532"	"DNHD1"	chr11	+	6570008	6571423	6570008	6570100	6570617	6571423
6881	"ENSG00000161960"	"EIF4A1"	chr17	+	7576523	7577165	7576523	7576690	7577055	7577165
6894	"ENSG00000188878"	"FBF1"	chr17	-	75914121	75914932	75914121	75914292	75914746	75914932
6898	"ENSG00000188878"	"FBF1"	chr17	-	75914121	75914932	75914121	75914295	75914829	75914932
6942	"ENSG00000065361"	"ERBB3"	chr12	+	56094098	56095310	56094098	56094189	56095256	56095310
6957	"ENSG00000089094"	"KDM2B"	chr12	-	121442156	121443793	121442156	121442836	121443679	121443793
7006	"ENSG00000111684"	"LPCAT3"	chr12	-	6977366	6978507	6977366	6977525	6978340	6978507
7032	"ENSG00000065357"	"DGKA"	chr12	+	55951622	55952431	55951622	55951783	55952340	55952431
7047	"ENSG00000111011"	"RSRC2"	chr12	-	122518838	122521428	122518838	122519051	122521384	122521428
7065	"ENSG00000123349"	"PFDN5"	chr12	+	53295838	53298150	53295838	53295941	53298044	53298150
7068	"ENSG00000288663"	NA	chr12	+	53303033	53306861	53303033	53303193	53306679	53306861
7113	"ENSG00000135486"	"HNRNPA1"	chr12	+	54283078	54283234	54283078	54283162	54283213	54283234
7128	"ENSG00000129317"	"PUS7L"	chr12	-	43754335	43755261	43754335	43754442	43755216	43755261
7298	"ENSG00000140521"	"POLG"	chr15	-	89317375	89318749	89317375	89317476	89317938	89318749
7340	"ENSG00000126522"	"ASL"	chr7	+	66086743	66087791	66086743	66086821	66087728	66087791
7376	"ENSG00000111602"	"TIMELESS"	chr12	-	56420962	56421809	56420962	56421134	56421726	56421809
7377	"ENSG00000165525"	"NEMF"	chr14	-	49784924	49785320	49784924	49785004	49785219	49785320
7380	"ENSG00000100650"	"SRSF5"	chr14	+	69768797	69770540	69768797	69768896	69770466	69770540
7473	"ENSG00000092010"	"PSME1"	chr14	+	24136984	24137431	24136984	24137017	24137320	24137431
7512	"ENSG00000075413"	"MARK3"	chr14	+	103465556	103466442	103465556	103465793	103466342	103466442
7561	"ENSG00000140043"	"PTGR2"	chr14	+	73876997	73880176	73876997	73877168	73880054	73880176
7569	"ENSG00000188130"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199
7571	"ENSG00000141736"	"ERBB2"	chr17	+	39715739	39716605	39715739	39715939	39716514	39716605
7609	"ENSG00000092531"	"SNAP23"	chr15	+	42513173	42513447	42513173	42513209	42513398	42513447
7611	"ENSG00000196954"	"CASP4"	chr11	-	104947082	104949777	104947082	104947192	104949542	104949777
7627	"ENSG00000041357"	"PSMA4"	chr15	+	78540443	78542645	78540443	78540539	78542482	78542645
7647	"ENSG00000121716"	"PILRB"	chr7	+	100352563	100353123	100352563	100352667	100352996	100353123
7654	"ENSG00000140365"	"COMMD4"	chr15	+	75338984	75339878	75338984	75339104	75339701	75339878
7668	"ENSG00000136492"	"BRIP1"	chr17	-	61776400	61781005	61776400	61776562	61780839	61781005
7718	"ENSG00000171680"	"PLEKHG5"	chr1	-	6467824	6468586	6467824	6467893	6468098	6468586
7737	"ENSG00000103811"	"CTSH"	chr15	-	78926174	78927781	78926174	78926254	78927712	78927781
7760	"ENSG00000140279"	"DUOX2"	chr15	-	45111110	45111955	45111110	45111277	45111767	45111955
7813	"ENSG00000167962"	"ZNF598"	chr16	-	2002520	2003728	2002520	2002732	2003615	2003728
7819	"ENSG00000140983"	"RHOT2"	chr16	+	668487	668699	668487	668569	668658	668699
7877	"ENSG00000168010"	"ATG16L2"	chr11	+	72822477	72824842	72822477	72822543	72824733	72824842
7879	"ENSG00000168010"	"ATG16L2"	chr11	+	72828358	72828776	72828358	72828478	72828728	72828776
7890	"ENSG00000102977"	"ACD"	chr16	-	67658927	67659613	67658927	67659079	67659536	67659613
7927	"ENSG00000102901"	"CENPT"	chr16	-	67829764	67831358	67829764	67830088	67831215	67831358
8019	"ENSG00000103245"	"CIAO3"	chr16	-	730842	732900	730842	731000	732300	732900
8034	"ENSG00000051108"	"HERPUD1"	chr16	+	56939894	56940245	56939894	56940088	56940176	56940245
8176	"ENSG00000108591"	"DRG2"	chr17	+	18099016	18100435	18099016	18099077	18100362	18100435
8177	"ENSG00000108591"	"DRG2"	chr17	+	18099016	18100435	18099016	18099093	18100362	18100435
8200	"ENSG00000131899"	"LLGL1"	chr17	+	18240577	18241999	18240577	18240873	18241884	18241999
8203	"ENSG00000168090"	"COPS6"	chr7	+	100090591	100091152	100090591	100090654	100091037	100091152
8216	"ENSG00000125691"	"RPL23"	chr17	-	38850080	38852732	38850080	38850214	38852603	38852732
8288	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036643	82036190	82036308	82036543	82036643
8321	"ENSG00000072210"	"ALDH3A2"	chr17	+	19648780	19649124	19648780	19648843	19648962	19649124
