ID...1	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1527	ENSG00000196262	PPIA	chr7	+	44798747	44798904	44798747	44798814	44799246	44799277	1527	108,72,78	180,177,146	150,126,173	130,142,119	239	149	0.0000000409663980516	0.0000169960335039	0.272,0.202,0.25	0.418,0.356,0.475	-0.175
1583	ENSG00000164609	SLU7	chr5	-	160418595	160419081	160419022	160419081	160417111	160417241	1583	52,57,46	115,126,154	35,22,25	138,184,135	576	149	0.00000380794887378	0.000690608610358	0.105,0.105,0.072	0.062,0.03,0.046	0.048
1689	ENSG00000173486	FKBP2	chr11	+	64241664	64241994	64241664	64241747	64242383	64242558	1689	481,439,476	8,6,9	380,365,488	20,19,18	396	149	0.0000202402954462	0.00245117220144	0.958,0.965,0.952	0.877,0.878,0.911	0.07
1691	ENSG00000105221	AKT2	chr19	-	40236256	40238091	40237968	40238091	40235889	40236104	1691	223,251,231	0,2,2	190,201,226	5,4,7	1861	149	0.000301714696177	0.0194995630677	1.0,0.909,0.902	0.753,0.801,0.721	0.179
1733	ENSG00000146007	ZMAT2	chr5	+	140703917	140704004	140703917	140703991	140704425	140704571	1733	67,58,74	3174,2776,2893	32,39,50	3167,2939,3474	162	149	0.0000402562598663	0.0042577615904	0.019,0.019,0.023	0.009,0.012,0.013	0.009
1809	ENSG00000197912	SPG7	chr16	+	89540943	89541384	89540943	89541346	89544647	89544772	1809	26,8,10	1,1,0	19,25,14	6,1,4	187	149	0.00061749945677	0.0323626080416	0.954,0.864,1.0	0.716,0.952,0.736	0.138
1820	ENSG00000197912	SPG7	chr16	+	89554485	89556085	89554485	89554563	89556886	89557173	1820	442,363,379	540,502,447	399,353,357	647,663,740	1671	149	0.0000942257440898	0.00798059319318	0.068,0.061,0.07	0.052,0.045,0.041	0.02
1833	ENSG00000167792	NDUFV1	chr11	+	67607298	67607616	67607298	67607324	67608395	67608478	1833	31,30,23	4,4,2	20,17,17	0,0,1	441	149	0.000051560847398	0.00504301488693	0.724,0.717,0.795	1.0,1.0,0.852	-0.205
1878	ENSG00000003509	NDUFAF7	chr2	+	37237756	37237867	37237756	37237835	37241577	37241637	1878	223,246,177	4,7,9	223,277,296	4,1,0	181	149	0.000602294346366	0.0317468362602	0.979,0.967,0.942	0.979,0.996,1.0	-0.029
1910	ENSG00000166261	ZNF202	chr11	-	123740392	123740536	123740416	123740536	123730486	123730985	1910	4,4,3	2,0,8	1,0,0	2,6,3	173	149	0.00000545766261051	0.00089989859444	0.633,1.0,0.244	0.301,0.0,0.0	0.525
1913	ENSG00000100413	POLR3H	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	1913	92,69,49	571,528,445	56,24,67	707,596,752	204	149	0.00000295706354869	0.000567632622573	0.105,0.087,0.074	0.055,0.029,0.061	0.04
1917	ENSG00000174233	ADCY6	chr12	-	48773468	48774098	48773939	48774098	48772507	48772543	1917	78,83,79	0,1,0	62,60,82	4,4,0	620	149	0.000479632425608	0.0269109960312	1.0,0.952,1.0	0.788,0.783,1.0	0.127
1919	ENSG00000122566	HNRNPA2B1	chr7	-	26190992	26192577	26192494	26192577	26189665	26190460	1919	16267,16503,15190	72,66,49	7254,7485,8573	7,12,7	1651	149	0.000000000102157504678	0.0000000831562088079	0.953,0.958,0.965	0.989,0.983,0.991	-0.029
1922	ENSG00000122566	HNRNPA2B1	chr7	-	26191055	26192577	26192494	26192577	26189940	26190460	1922	16074,16397,15039	72,66,49	7180,7453,8520	7,12,7	1588	149	0.0000000000934260446783	0.0000000770237849882	0.954,0.959,0.966	0.99,0.983,0.991	-0.028
1972	ENSG00000187098	MITF	chr3	+	69937821	69938049	69937821	69937881	69939097	69939181	1972	37,32,25	0,2,6	19,19,23	1,0,0	317	149	0.00104519999149	0.0486174719431	1.0,0.883,0.662	0.899,1.0,1.0	-0.118
2001	ENSG00000067829	IDH3G	chrX	-	153790795	153790851	153790809	153790851	153790194	153790292	2001	3,1,6	6,0,3	2,0,0	3,4,4	163	149	0.000373734224728	0.0228016599914	0.314,1.0,0.646	0.379,0.0,0.0	0.527
2052	ENSG00000174562	KLK15	chr19	-	50826877	50827161	50826995	50827161	50826620	50826757	2052	1,1,0	2,0,3	1,2,2	2,0,0	267	149	0.000133651484922	0.0104430041183	0.218,1.0,0.0	0.218,1.0,1.0	-0.333
2076	ENSG00000179818	PCBP1-AS1	chr2	-	70086221	70086273	70086251	70086273	70085546	70085624	2076	1,0,1	1,4,6	1,2,3	0,3,0	179	149	0.0000162196664567	0.00206130804578	0.454,0.0,0.122	1.0,0.357,1.0	-0.594
2199	ENSG00000105854	PON2	chr7	-	95416171	95416297	95416241	95416297	95415147	95415272	2199	198,281,314	13,13,12	254,273,223	5,4,3	219	149	0.000223223081119	0.0154808303926	0.912,0.936,0.947	0.972,0.979,0.981	-0.046
2354	ENSG00000157212	PAXIP1	chr7	-	154947831	154948003	154947902	154948003	154946678	154946813	2354	0,1,0	71,59,52	2,5,9	53,45,73	220	149	0.0000682745578866	0.00630048834177	0.0,0.011,0.0	0.025,0.07,0.077	-0.054
2379	ENSG00000165195	PIGA	chrX	-	15331215	15331992	15331589	15331992	15325913	15326046	2379	32,33,38	8,9,3	26,39,29	0,2,2	523	149	0.000863384077705	0.0419678252709	0.533,0.511,0.783	1.0,0.847,0.805	-0.275
2412	ENSG00000135838	NPL	chr1	+	182806144	182806531	182806144	182806232	182812155	182812213	2412	13,13,12	24,51,38	3,2,3	46,22,19	448	149	0.000122352878699	0.00980082060853	0.153,0.078,0.095	0.021,0.029,0.05	0.075
2425	ENSG00000139620	KANSL2	chr12	-	48681381	48681641	48681570	48681641	48679654	48679833	2425	380,470,527	9,9,9	352,340,330	2,4,0	338	149	0.000642128635757	0.033489638322	0.949,0.958,0.963	0.987,0.974,1.0	-0.03
2463	ENSG00000203875	SNHG5	chr6	-	85678402	85678748	85678693	85678748	85678135	85678188	2463	612,621,590	379,368,266	426,371,423	302,295,350	440	149	0.000837443197173	0.0410775150552	0.354,0.364,0.429	0.323,0.299,0.29	0.078
2465	ENSG00000203875	SNHG5	chr6	-	85678497	85678748	85678693	85678748	85678135	85678188	2465	407,445,402	379,368,266	286,242,300	302,295,350	345	149	0.000647625475658	0.0337489496253	0.317,0.343,0.395	0.29,0.262,0.27	0.078
2509	ENSG00000143207	COP1	chr1	-	176163814	176163891	176163826	176163891	176149005	176149074	2509	21,36,39	0,2,1	27,20,34	3,10,4	161	149	0.0000498222986841	0.00494424805429	1.0,0.943,0.973	0.893,0.649,0.887	0.162
2571	ENSG00000075292	ZNF638	chr2	+	71331765	71331875	71331765	71331865	71334500	71334596	2571	9,10,8	0,0,0	2,2,2	2,2,8	159	149	0.0000000000156656909667	0.0000000137999715521	1.0,1.0,1.0	0.484,0.484,0.19	0.614
2646	ENSG00000127483	HP1BP3	chr1	-	20780344	20780540	20780349	20780540	20779811	20779911	2646	730,817,860	82,49,85	733,820,820	38,48,37	154	149	0.0000937379272566	0.00796289451805	0.896,0.942,0.907	0.949,0.943,0.955	-0.034
2705	ENSG00000162923	WDR26	chr1	-	224431476	224431581	224431524	224431581	224424517	224424719	2705	19,11,11	0,0,0	11,10,6	2,2,3	197	149	0.0000562778301628	0.00540956972563	1.0,1.0,1.0	0.806,0.791,0.602	0.267
2718	ENSG00000130713	EXOSC2	chr9	+	130695491	130695606	130695491	130695593	130699328	130699394	2718	11,13,11	0,2,0	8,5,13	6,1,6	162	149	0.0000178143498958	0.0022200960938	1.0,0.857,1.0	0.551,0.821,0.666	0.273
2873	ENSG00000135506	OS9	chr12	+	57718145	57718421	57718145	57718376	57718992	57719182	2873	9180,8192,7460	834,757,725	6537,6296,7694	922,905,1149	194	149	0.000000475410521505	0.000121799796796	0.894,0.893,0.888	0.845,0.842,0.837	0.05
2942	ENSG00000163479	SSR2	chr1	-	156018131	156018368	156018269	156018368	156014960	156015069	2942	25,48,38	269,178,236	20,15,29	248,249,257	287	149	0.000244864244186	0.0166636004014	0.046,0.123,0.077	0.04,0.03,0.055	0.04
2946	ENSG00000132676	DAP3	chr1	+	155689090	155689243	155689090	155689174	155709772	155709824	2946	282,265,293	1298,1314,1210	186,177,225	1227,1186,1376	218	149	0.000478044449907	0.0269109960312	0.129,0.121,0.142	0.094,0.093,0.101	0.035
2947	ENSG00000132676	DAP3	chr1	+	155689090	155689243	155689090	155689174	155717005	155717128	2947	107,89,111	11,11,9	75,79,86	13,18,27	218	149	0.000496483647218	0.0275707058877	0.869,0.847,0.894	0.798,0.75,0.685	0.126
2949	ENSG00000114867	EIF4G1	chr3	+	184319688	184320297	184319688	184319801	184320629	184320722	2949	30,39,36	322,347,329	4,16,7	344,424,351	645	149	0.00000000892523310814	0.00000478288366877	0.021,0.025,0.025	0.003,0.009,0.005	0.018
2991	ENSG00000156463	SH3RF2	chr5	+	146055980	146056231	146055980	146056213	146078459	146081791	2991	8,9,11	0,0,1	3,2,3	2,3,5	167	149	0.000000035265944387	0.0000150186213229	1.0,1.0,0.908	0.572,0.373,0.349	0.538
3047	ENSG00000174720	LARP7	chr4	+	112644667	112644871	112644667	112644768	112646350	112646451	3047	1427,1266,1369	365,334,331	1163,1089,1401	198,212,256	252	149	0.000764543333781	0.0382902831948	0.698,0.691,0.71	0.776,0.752,0.764	-0.064
3182	ENSG00000176393	RNPEP	chr1	+	201996146	201996409	201996146	201996263	201997318	201997554	3182	20,18,14	243,155,228	33,25,33	159,200,209	295	149	0.00076168394263	0.0382256345574	0.04,0.055,0.03	0.095,0.059,0.074	-0.034
3196	ENSG00000127914	AKAP9	chr7	+	92070029	92070206	92070029	92070182	92070904	92071009	3196	254,355,357	43,87,87	157,223,173	75,78,74	173	149	0.00000582016962913	0.000945130879219	0.836,0.778,0.779	0.643,0.711,0.668	0.124
3218	ENSG00000003393	ALS2	chr2	-	201746565	201746748	201746627	201746748	201744257	201744429	3218	36,41,53	6,2,2	41,44,42	0,0,1	211	149	0.000429562389004	0.0248859810696	0.809,0.935,0.949	1.0,1.0,0.967	-0.091
3241	ENSG00000131778	CHD1L	chr1	+	147270931	147271195	147270931	147271113	147272170	147272281	3241	28,60,42	20,9,14	21,22,24	16,24,49	231	149	0.000418356714846	0.0245463931614	0.475,0.811,0.659	0.458,0.372,0.24	0.292
3242	ENSG00000131778	CHD1L	chr1	+	147272170	147272630	147272170	147272281	147275353	147275468	3242	22,54,31	487,451,470	51,61,75	347,352,420	498	149	0.000000123960995246	0.0000390756654916	0.013,0.035,0.019	0.042,0.049,0.051	-0.025
3281	ENSG00000084754	HADHA	chr2	-	26210544	26210814	26210694	26210814	26209779	26209889	3281	10,4,23	3,2,2	5,7,3	0,0,0	299	149	0.0000292392763029	0.00329292627309	0.624,0.499,0.851	1.0,1.0,1.0	-0.342
3313	ENSG00000104853	CLPTM1	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075	3313	21,25,13	2,3,5	10,12,5	0,1,0	533	149	0.0000570370006063	0.00546620173024	0.746,0.7,0.421	1.0,0.77,1.0	-0.301
3317	ENSG00000182134	TDRKH	chr1	-	151779950	151780140	151780050	151780140	151779102	151779242	3317	687,681,612	22,17,35	509,585,598	6,11,6	249	149	0.00000972958446432	0.00139037924125	0.949,0.96,0.913	0.981,0.97,0.984	-0.038
3423	ENSG00000095059	DHPS	chr19	-	12680149	12680325	12680160	12680325	12679800	12679922	3423	24,19,17	445,474,390	31,26,39	330,272,352	160	149	0.0000222776525244	0.00264202534296	0.048,0.036,0.039	0.08,0.082,0.094	-0.044
3469	ENSG00000124333	VAMP7	chrX	+	155889457	155889633	155889457	155889608	155895622	155895680	3469	1,5,5	4,0,3	7,3,15	0,0,0	174	149	0.0000773286338774	0.00692248593134	0.176,1.0,0.588	1.0,1.0,1.0	-0.412
3506	ENSG00000182853	VMO1	chr17	-	4785936	4786052	4785956	4786052	4785284	4785659	3506	1,1,0	1,0,1	0,3,1	1,0,1	169	149	0.00100506176933	0.0470389389655	0.469,1.0,0.0	0.0,1.0,0.469	0
3556	ENSG00000229212	NA	chr15	-	85209385	85209574	85209472	85209574	85209024	85209115	3556	4,5,0	0,1,2	0,1,1	3,8,2	236	149	0.000356594652563	0.0220704289968	1.0,0.759,0.0	0.0,0.073,0.24	0.482
3595	ENSG00000126581	BECN1	chr17	-	42818543	42819609	42819547	42819609	42818220	42818415	3595	1327,1321,1225	1,4,1	1305,1265,1373	18,12,8	1153	149	0.0000000929981668341	0.0000314251890308	0.994,0.977,0.994	0.904,0.932,0.957	0.057
3601	ENSG00000115282	TTC31	chr2	+	74483321	74483563	74483321	74483410	74490024	74490473	3601	16,13,12	143,145,181	15,22,22	82,112,80	302	149	0.0000906631823469	0.00776323116378	0.052,0.042,0.032	0.083,0.088,0.119	-0.055
3602	ENSG00000115282	TTC31	chr2	+	74483321	74483563	74483321	74483410	74490243	74490473	3602	13,14,13	47,50,58	19,24,26	26,25,48	302	149	0.0000597851197732	0.00567879159843	0.12,0.121,0.1	0.265,0.321,0.211	-0.152
3645	ENSG00000249915	PDCD6	chr5	+	306601	306760	306601	306754	311292	311402	3645	899,709,818	117,95,92	748,701,807	130,150,140	155	149	0.000522706500543	0.0285826226394	0.881,0.878,0.895	0.847,0.818,0.847	0.047
3671	ENSG00000060642	PIGV	chr1	+	26788176	26788819	26788176	26788394	26790758	26790893	3671	19,25,23	4,3,4	12,6,22	1,1,0	574	149	0.00086226044212	0.0419678252709	0.552,0.684,0.599	0.757,0.609,1.0	-0.177
3752	ENSG00000112715	VEGFA	chr6	+	43780731	43780803	43780731	43780785	43784540	43784562	3752	52,62,35	1,3,0	18,18,18	2,10,0	167	149	0.000842300330188	0.0412123287973	0.979,0.949,1.0	0.889,0.616,1.0	0.141
3820	ENSG00000141279	NPEPPS	chr17	+	47619277	47619495	47619277	47619372	47619736	47619784	3820	10,13,15	5,2,3	3,6,14	0,1,1	272	149	0.000953363692248	0.0451833267185	0.523,0.781,0.733	1.0,0.767,0.885	-0.205
3884	ENSG00000048991	R3HDM1	chr2	+	135641535	135641790	135641535	135641604	135645378	135645527	3884	65,70,61	29,31,34	70,139,101	14,27,23	335	149	0.0000234703815265	0.00274915547257	0.499,0.501,0.444	0.69,0.696,0.661	-0.201
3942	ENSG00000108654	DDX5	chr17	-	64500548	64502069	64502009	64502069	64498256	64500326	3942	23431,22847,23247	416,415,387	17635,17758,20465	654,679,800	1610	149	0	0	0.839,0.836,0.848	0.714,0.708,0.703	0.133
3944	ENSG00000108654	DDX5	chr17	-	64501260	64502069	64502009	64502069	64500548	64500773	3944	12132,12395,13346	5867,5121,5145	7463,8212,8994	6663,7387,8484	898	149	0	0	0.255,0.287,0.301	0.157,0.156,0.15	0.127
3960	ENSG00000129187	DCTD	chr4	-	182916285	182916539	182916418	182916539	182915880	182915888	3960	4,3,4	2,2,1	1,3,1	0,0,0	282	149	0.000284669677775	0.0186605181437	0.514,0.442,0.679	1.0,1.0,1.0	-0.455
4074	ENSG00000143702	CEP170	chr1	-	243185778	243186422	243186258	243186422	243172696	243172846	4074	147,180,199	30,28,33	107,166,121	6,8,15	629	149	0.000726757875478	0.0369153964775	0.537,0.604,0.588	0.809,0.831,0.656	-0.189
4084	ENSG00000117650	NEK2	chr1	-	211671168	211671284	211671201	211671284	211670280	211670393	4084	0,2,1	3,2,2	2,2,1	0,0,0	182	149	0.000000000534606692248	0.000000377784812656	0.0,0.45,0.29	1.0,1.0,1.0	-0.753
4191	ENSG00000135541	AHI1	chr6	-	135495312	135495898	135495813	135495898	135492227	135492291	4191	2,7,7	0,5,7	2,20,8	0,0,2	650	149	0.00060833585531	0.032012803201	1.0,0.243,0.186	1.0,1.0,0.478	-0.35
4196	ENSG00000117335	CD46	chr1	+	207767012	207770362	207767012	207767195	207783291	207783330	4196	2406,2522,2880	4,15,9	2307,2429,2485	2,5,0	3316	149	0.000149121421338	0.0113618508537	0.964,0.883,0.935	0.981,0.956,1.0	-0.052
4225	ENSG00000141503	MINK1	chr17	+	4889646	4890735	4889646	4889763	4890950	4891124	4225	1250,1276,1422	0,0,0	1002,994,1198	17,0,0	1121	149	0.000463921397857	0.0262845193045	1.0,1.0,1.0	0.887,1.0,1.0	0.038
4246	ENSG00000164211	STARD4	chr5	-	111512384	111512535	111512390	111512535	111507328	111507442	4246	210,272,209	41,39,60	245,223,214	22,15,30	155	149	0.0000447218534877	0.00459406311562	0.831,0.87,0.77	0.915,0.935,0.873	-0.084
4269	ENSG00000187091	PLCD1	chr3	-	38008457	38009158	38009041	38009158	38008234	38008367	4269	47,39,38	0,0,0	46,26,38	0,4,4	733	149	0.00000923605832648	0.00133468307133	1.0,1.0,1.0	1.0,0.569,0.659	0.257
4310	ENSG00000116521	SCAMP3	chr1	-	155258790	155258892	155258825	155258892	155257497	155257657	4310	0,0,0	8,10,15	2,2,4	4,8,13	184	149	0.0000550991320444	0.00532012730518	0.0,0.0,0.0	0.288,0.168,0.199	-0.218
4388	ENSG00000138380	CARF	chr2	+	202913033	202913114	202913033	202913102	202917876	202918043	4388	1,1,6	0,10,3	7,7,2	0,0,1	161	149	0.0000901720243912	0.00774179198999	1.0,0.085,0.649	1.0,1.0,0.649	-0.305
4409	ENSG00000164548	TRA2A	chr7	-	23522120	23522432	23522131	23522432	23521706	23521840	4409	88,101,78	25,17,13	66,56,81	24,33,30	160	149	0.000842755145218	0.0412123287973	0.766,0.847,0.848	0.719,0.612,0.715	0.138
4452	ENSG00000188186	LAMTOR4	chr7	+	100149498	100149579	100149498	100149565	100153399	100153517	4452	1804,1320,1510	72,69,71	1633,1596,1732	40,29,49	163	149	0.000002302531108	0.000465618130286	0.958,0.946,0.951	0.974,0.981,0.97	-0.023
4485	ENSG00000152056	AP1S3	chr2	-	223777688	223777869	223777690	223777869	223775900	223776009	4485	6,18,11	45,70,70	3,3,1	32,48,42	151	149	0.000466496143868	0.026383905917	0.116,0.202,0.134	0.085,0.058,0.023	0.095
4580	ENSG00000197713	RPE	chr2	+	210003437	210003468	210003437	210003457	210009656	210009736	4580	7,5,10	3,0,6	2,6,10	0,1,0	160	149	0.000116110511422	0.00940378154597	0.685,1.0,0.608	1.0,0.848,1.0	-0.185
4582	ENSG00000147548	NSD3	chr8	-	38281466	38281583	38281499	38281583	38279539	38279681	4582	62,80,94	77,90,150	21,33,14	76,91,57	182	149	0.000000245582800762	0.0000683655739645	0.397,0.421,0.339	0.184,0.229,0.167	0.192
