ID...1	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...14	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
450	ENSG00000142541	RPL13A	chr19	+	49490474	49490576	49490778	49490864	49489849	49490297	49491039	49491099	450	9427,7933,9767	43255,39841,31576	6556,6173,7932	40320,35391,45836	251	235	0.0000473640105887	0.00192882417396	0.169,0.157,0.225	0.132,0.14,0.139	0.047
468	ENSG00000126460	PRRG2	chr19	+	49583206	49583304	49583541	49583717	49581315	49581481	49583912	49583952	468	127,113,100	70,63,34	123,113,139	35,41,18	247	298	0.00063680846642	0.0153202485809	0.686,0.684,0.78	0.809,0.769,0.903	-0.11
476	ENSG00000104872	PIH1D1	chr19	-	49450781	49450848	49451484	49451578	49449339	49449654	49453375	49453495	476	40,33,30	169,172,169	45,49,51	145,142,152	243	216	0.00261019294954	0.0452000902726	0.174,0.146,0.136	0.216,0.235,0.23	-0.075
496	ENSG00000267120	NA	chr19	-	35744625	35744738	35745124	35745212	35744322	35744421	35745347	35745432	496	257,302,224	93,82,82	230,234,296	56,52,56	237	262	0.00215969535857	0.0393222037274	0.753,0.803,0.751	0.82,0.833,0.854	-0.067
513	ENSG00000130813	SHFL	chr19	+	10087250	10087300	10089110	10089208	10086786	10087052	10089306	10089378	513	196,212,167	30,38,30	205,181,194	10,8,7	199	247	0.000000000414781431424	0.0000000909150223027	0.89,0.874,0.874	0.962,0.966,0.972	-0.087
516	ENSG00000063244	U2AF2	chr19	+	55668669	55668792	55669082	55669181	55668506	55668586	55669443	55669692	516	301,277,307	455,478,438	330,239,300	596,619,685	272	248	0.000567524098294	0.0139869323204	0.376,0.346,0.39	0.335,0.26,0.285	0.077
520	ENSG00000245680	ZNF585B	chr19	-	37195880	37196019	37198938	37199054	37190023	37190150	37207039	37207254	520	1,10,5	0,2,4	2,17,6	0,0,0	265	288	0.00171416652586	0.0329373596176	1.0,0.845,0.576	1.0,1.0,1.0	-0.193
530	ENSG00000076928	ARHGEF1	chr19	+	41897314	41897326	41897945	41898113	41896376	41896482	41898441	41898587	530	0,0,0	1,4,2	2,3,1	5,1,3	161	298	0.00000265456132864	0.00017984374551	0.0,0.0,0.0	0.425,0.847,0.382	-0.551
549	ENSG00000105053	VRK3	chr19	-	50009235	50009385	50016023	50016163	50007568	50007826	50020584	50020647	549	165,132,156	332,355,305	219,216,272	292,286,330	289	298	0.00000162748738253	0.000119358520141	0.339,0.277,0.345	0.436,0.438,0.459	-0.124
572	ENSG00000105483	CARD8	chr19	-	48218870	48219012	48221729	48221855	48215339	48215384	48230437	48230697	572	7,9,15	47,58,42	2,2,4	35,47,38	275	291	0.00114255170621	0.0241158065031	0.136,0.141,0.274	0.057,0.043,0.1	0.117
606	ENSG00000022556	NLRP2	chr19	+	54977751	54977823	54981616	54981682	54974499	54974544	54982161	54983728	606	312,298,356	228,260,241	283,295,321	256,309,377	221	215	0.00248957430633	0.0437022011907	0.571,0.527,0.59	0.518,0.482,0.453	0.078
711	ENSG00000123159	GIPC1	chr19	-	14482688	14483006	14491655	14491743	14480592	14480778	14492856	14492912	711	468,435,420	835,795,683	460,487,546	642,587,717	237	298	0.00210983891756	0.0386395660061	0.413,0.408,0.436	0.474,0.511,0.489	-0.072
712	ENSG00000123159	GIPC1	chr19	-	14482688	14483006	14491655	14491743	14480592	14480778	14496036	14496132	712	298,281,268	851,806,713	396,346,436	648,602,738	237	298	0.000000270938151914	0.0000270327076165	0.306,0.305,0.321	0.435,0.42,0.426	-0.116
726	ENSG00000130254	SAFB2	chr19	-	5610638	5610688	5611119	5611630	5600129	5600260	5612539	5612567	726	819,766,902	28,21,22	915,886,992	12,13,15	298	199	0.000914859665546	0.0202866832817	0.951,0.961,0.965	0.981,0.979,0.978	-0.02
798	ENSG00000124214	STAU1	chr20	-	49151581	49151747	49153932	49154071	49135832	49135931	49174194	49174269	798	99,105,113	1041,1004,962	44,39,54	737,857,826	288	298	0.00000183043433777	0.000131729538383	0.09,0.098,0.108	0.058,0.045,0.063	0.043
815	ENSG00000124177	CHD6	chr20	-	41514804	41514952	41533049	41533570	41512845	41512995	41564010	41564151	815	14,25,12	141,183,245	7,5,6	127,162,177	298	297	0.00113250232824	0.023982067336	0.09,0.12,0.047	0.052,0.03,0.033	0.047
822	ENSG00000101333	PLCB4	chr20	+	9453346	9453462	9457413	9457489	9444177	9444243	9468570	9468672	822	583,669,552	14,18,28	530,513,560	41,54,52	265	225	0.00000000202575989317	0.00000037669413476	0.972,0.969,0.944	0.916,0.89,0.901	0.059
823	ENSG00000101333	PLCB4	chr20	+	9457413	9457489	9459634	9459810	9453346	9453462	9468570	9468672	823	195,196,238	715,813,725	216,204,229	545,528,603	225	298	0.00162581946974	0.0317178848264	0.265,0.242,0.303	0.344,0.339,0.335	-0.069
824	ENSG00000101333	PLCB4	chr20	+	9459634	9459810	9468570	9468672	9457413	9457489	9472789	9472847	824	535,530,528	154,168,163	348,373,358	154,155,206	298	251	0.0000655798615038	0.0024925235631	0.745,0.727,0.732	0.656,0.67,0.594	0.095
833	ENSG00000131051	RBM39	chr20	-	35729461	35729527	35731940	35732135	35729311	35729365	35740823	35740887	833	116,121,99	1261,1234,1249	115,109,188	839,858,994	298	215	0.00000386209224434	0.000245836635167	0.062,0.066,0.054	0.09,0.084,0.12	-0.037
835	ENSG00000131051	RBM39	chr20	-	35738967	35739017	35740524	35740597	35731940	35732135	35740823	35740887	835	709,698,833	6645,7405,6350	367,365,362	8045,7909,8849	222	199	0	0	0.087,0.078,0.105	0.039,0.04,0.035	0.052
871	ENSG00000101084	RAB5IF	chr20	+	36607889	36608000	36609600	36609730	36607714	36607818	36612009	36612557	871	35,17,11	432,401,326	16,12,12	479,401,541	260	279	0.00275086696259	0.0470029527694	0.08,0.044,0.035	0.035,0.031,0.023	0.023
898	ENSG00000125885	MCM8	chr20	+	5972006	5972037	5972575	5972726	5967829	5968025	5973055	5973196	898	94,92,66	10,9,6	95,95,95	3,0,6	180	298	0.00113786596138	0.0240542753913	0.94,0.944,0.948	0.981,1.0,0.963	-0.037
904	ENSG00000101199	ARFGAP1	chr20	+	63275576	63275640	63276479	63276651	63272784	63272920	63278116	63278203	904	46,52,65	6,4,9	32,26,31	6,11,25	213	298	0.000112098747232	0.00386622952317	0.915,0.948,0.91	0.882,0.768,0.634	0.163
923	ENSG00000124222	STX16	chr20	+	58659622	58659634	58667200	58667318	58652072	58652087	58667489	58667597	923	170,150,229	2,4,7	147,145,172	8,12,12	161	267	0.000599789263881	0.0146003763203	0.993,0.984,0.982	0.968,0.952,0.96	0.026
933	ENSG00000100983	GSS	chr20	-	34942487	34942627	34942930	34943006	34936942	34937023	34945952	34946098	933	332,289,301	7,0,2	250,246,298	5,12,20	225	289	0.00000763298078899	0.000428441953545	0.984,1.0,0.995	0.985,0.963,0.95	0.027
998	ENSG00000101452	DHX35	chr20	+	38988792	38988917	38991453	38991515	38983698	38983776	38992355	38992425	998	8,5,11	19,20,24	1,6,0	33,17,25	274	211	0.000736376725837	0.0171656245699	0.245,0.161,0.261	0.023,0.214,0.0	0.143
1048	ENSG00000100997	ABHD12	chr20	-	25317047	25317078	25319051	25319155	25309445	25309575	25320198	25320318	1048	5,7,5	8,7,11	1,0,0	5,1,6	253	180	0.0000102071055398	0.000546641565396	0.308,0.416,0.244	0.125,0.0,0.0	0.281
1089	ENSG00000238105	GOLGA2P5	chr12	-	100167549	100167639	100168451	100168633	100167335	100167443	100168923	100169199	1089	45,47,79	262,331,297	27,30,24	329,299,371	298	239	0.0000000782447753256	0.00000963206109062	0.121,0.102,0.176	0.062,0.074,0.049	0.071
1090	ENSG00000238105	GOLGA2P5	chr12	-	100167549	100167639	100168923	100169199	100167335	100167443	100170564	100170667	1090	66,74,79	261,344,330	40,48,62	325,276,381	298	239	0.00210575682976	0.0385793924781	0.169,0.147,0.161	0.09,0.122,0.115	0.05
1104	ENSG00000103222	ABCC1	chr16	+	16009775	16009901	16033108	16033170	16007815	16007992	16036471	16036603	1104	5,5,7	23,32,24	0,1,0	19,20,21	275	211	0.0000042580220222	0.000266751705865	0.143,0.107,0.183	0.0,0.037,0.0	0.132
1120	ENSG00000126777	KTN1	chr14	+	55663954	55664041	55667240	55667330	55661521	55661612	55670728	55670809	1120	482,478,552	3739,3793,3320	323,311,356	3536,3054,3658	236	239	0.000075576061326	0.00280531969246	0.115,0.113,0.144	0.085,0.093,0.09	0.035
1153	ENSG00000147202	DIAPH2	chrX	+	96758153	96758258	96763099	96763120	96738585	96738762	96881578	96881718	1153	6,12,16	1,2,5	11,6,8	2,0,0	254	170	0.00226410221546	0.0406879033085	0.801,0.801,0.682	0.786,1.0,1.0	-0.167
1161	ENSG00000273136	NBPF26	chr1	+	120831987	120832160	120833602	120833775	120831297	120831349	120834494	120834546	1161	3,4,3	8,1,2	0,1,2	3,5,6	298	298	0.0025591954642	0.0445690123615	0.273,0.8,0.6	0.0,0.167,0.25	0.419
1166	ENSG00000273136	NBPF26	chr1	+	120838050	120838102	120839631	120839740	120837168	120837341	120840349	120840618	1166	23,38,69	1,0,0	22,15,20	0,0,12	201	258	0.000253047294978	0.00743569153314	0.967,1.0,1.0	1.0,1.0,0.681	0.095
1170	ENSG00000108848	LUC7L3	chr17	+	50737286	50737479	50738136	50738199	50736959	50737026	50740305	50740345	1170	681,845,926	32,26,28	783,869,915	13,11,21	298	212	0.000336019169259	0.00933846045238	0.938,0.959,0.959	0.977,0.983,0.969	-0.024
1190	ENSG00000285756	NA	chrX	-	3818656	3818703	3822373	3822580	3818441	3818500	3825087	3825231	1190	5,4,6	4,6,2	17,17,10	3,0,1	298	196	0.000129542193272	0.00433759477259	0.451,0.305,0.664	0.788,1.0,0.868	-0.412
1218	ENSG00000132780	NASP	chr1	+	45591222	45591270	45604935	45605016	45584044	45584205	45606481	45606591	1218	1016,1072,1197	8797,8842,7929	988,838,979	9213,9072,11349	197	230	0.000457190489873	0.0118114858265	0.119,0.124,0.15	0.111,0.097,0.091	0.031
1219	ENSG00000132780	NASP	chr1	+	45594693	45594773	45600384	45600457	45591222	45591270	45602254	45602365	1219	84,92,80	335,310,340	36,38,51	259,221,282	229	222	0.00105885668589	0.0227429005539	0.196,0.223,0.186	0.119,0.143,0.149	0.065
1220	ENSG00000132780	NASP	chr1	+	45594693	45594773	45600384	45600457	45591222	45591270	45604935	45605016	1220	24,20,20	71,54,88	3,5,3	48,41,44	229	222	0.00001020684155	0.000546641565396	0.247,0.264,0.181	0.057,0.106,0.062	0.156
1233	ENSG00000132780	NASP	chr1	+	45607320	45608337	45613168	45613248	45606481	45606591	45614095	45614181	1233	5525,5945,5296	13373,13038,10461	8102,8109,9632	12318,10824,14334	298	229	0.000000517966404545	0.0000455363913237	0.241,0.259,0.28	0.336,0.365,0.341	-0.087
1235	ENSG00000132780	NASP	chr1	+	45613168	45613248	45614095	45614181	45607320	45608337	45614292	45614366	1235	1246,1197,1122	1394,1195,1393	1820,1868,2297	1250,1113,1418	229	235	0.0000000000813094036545	0.0000000216410338886	0.478,0.507,0.453	0.599,0.633,0.624	-0.139
1251	ENSG00000198363	ASPH	chr8	-	61643385	61643433	61643944	61644001	61638321	61638363	61644599	61644632	1251	2050,2536,2406	943,1077,1182	1727,1850,1867	1200,1309,1330	206	197	0.000000713879574121	0.0000601926605922	0.675,0.692,0.661	0.579,0.575,0.573	0.1
1252	ENSG00000198363	ASPH	chr8	-	61643385	61643433	61643944	61644001	61642887	61642920	61644599	61644632	1252	2050,2534,2406	1945,2300,2307	1729,1850,1870	2134,2365,2394	206	197	0.000482741743544	0.0123107404202	0.502,0.513,0.499	0.437,0.428,0.428	0.074
1276	ENSG00000122591	FAM126A	chr7	-	22978268	22978448	22983948	22984045	22977340	22977421	22991060	22991139	1276	7,7,12	1,7,7	8,14,15	2,0,2	246	298	0.00145234931355	0.0290352979459	0.895,0.548,0.675	0.829,1.0,0.901	-0.204
1286	ENSG00000116698	SMG7	chr1	+	183547102	183547252	183549207	183549288	183545965	183546337	183549763	183549923	1286	6,17,17	111,105,102	5,8,6	140,143,110	298	230	0.000670840795017	0.0159567215964	0.04,0.111,0.114	0.027,0.041,0.04	0.052
1360	ENSG00000255152	MSH5-SAPCD1	chr6	+	31753300	31753439	31753566	31753629	31747386	31747432	31758164	31758293	1360	19,10,24	21,15,11	3,1,3	10,9,9	288	212	0.000470511681328	0.0120719391416	0.4,0.329,0.616	0.181,0.076,0.197	0.297
1516	ENSG00000135241	PNPLA8	chr7	-	108479183	108479379	108487758	108487953	108470416	108472675	108491409	108491467	1516	31,39,27	45,57,49	13,21,32	58,65,74	298	298	0.00209987283166	0.0384994406787	0.408,0.406,0.355	0.183,0.244,0.302	0.147
1525	ENSG00000107077	KDM4C	chr9	+	7128065	7128236	7165237	7165357	7105401	7105500	7169797	7169829	1525	24,29,39	450,444,395	13,21,11	436,410,495	298	269	0.000102907131846	0.00359788734766	0.046,0.056,0.082	0.026,0.044,0.02	0.031
1565	ENSG00000170632	ARMC10	chr7	+	103086868	103086937	103092476	103092653	103086629	103086764	103097276	103097348	1565	14,4,9	76,55,101	18,14,29	58,45,52	218	298	0.0000127511488381	0.000654313586114	0.201,0.09,0.109	0.298,0.298,0.433	-0.21
1594	ENSG00000106635	BCL7B	chr7	-	73543547	73543644	73552166	73552242	73537933	73538013	73557486	73557671	1594	506,597,423	3,6,11	387,452,532	18,25,5	225	246	0.000153305378564	0.00497006290676	0.995,0.991,0.977	0.959,0.952,0.991	0.02
1667	ENSG00000288721	NA	chr6	-	41907015	41907287	41916784	41916939	41891793	41891875	41921004	41921139	1667	163,221,187	12,3,7	99,130,114	14,12,11	298	298	0.000261075920837	0.00761846273693	0.931,0.987,0.964	0.876,0.915,0.912	0.06
1732	ENSG00000074582	BCS1L	chr2	+	218660036	218660245	218660938	218661307	218659682	218659743	218661405	218661545	1732	312,369,272	67,67,68	526,655,718	67,46,71	298	298	0.00000000982763137536	0.00000152094369852	0.823,0.846,0.8	0.887,0.934,0.91	-0.087
1733	ENSG00000198721	ECI2	chr6	-	4119185	4119275	4125249	4126237	4117307	4117451	4127761	4127831	1733	110,70,80	43,54,29	70,59,89	77,89,74	298	239	0.00029409314511	0.00836770572435	0.672,0.51,0.689	0.422,0.347,0.491	0.204
1754	ENSG00000132424	PNISR	chr6	-	99408080	99408271	99414571	99414690	99406030	99406168	99425214	99425329	1754	394,450,472	4952,5776,5118	224,245,235	3805,4083,4751	268	298	0.0000287645330904	0.00128539517082	0.081,0.08,0.093	0.061,0.063,0.052	0.026
1960	ENSG00000184465	WDR27	chr6	-	169659085	169659207	169659450	169659518	169658275	169658358	169660662	169660766	1960	10,14,13	58,73,74	4,4,3	50,44,64	217	271	0.00218416454234	0.0396931241843	0.177,0.193,0.18	0.091,0.102,0.055	0.101
1962	ENSG00000184465	WDR27	chr6	-	169665485	169665556	169667135	169668776	169664165	169664286	169670568	169670693	1962	0,0,3	1,1,1	0,2,1	1,0,0	298	220	0.000432261172268	0.0112939305907	0.0,0.0,0.689	0.0,1.0,1.0	-0.437
2038	ENSG00000105963	ADAP1	chr7	-	919967	920050	926552	926644	905059	905172	935374	935505	2038	44,61,48	249,233,222	19,17,34	210,169,247	241	232	0.0000707300225801	0.00265082991009	0.145,0.201,0.172	0.08,0.088,0.117	0.078
2079	ENSG00000174891	RSRC1	chr3	+	158123865	158123991	158203071	158203245	158122102	158122298	158298038	158298075	2079	682,765,779	2632,2705,2281	531,511,493	2399,2483,2747	275	298	0.0000313714967398	0.00137524976274	0.219,0.235,0.27	0.193,0.182,0.163	0.062
2082	ENSG00000174891	RSRC1	chr3	+	158203071	158203245	158225656	158225733	158123865	158123991	158298038	158298075	2082	4412,4662,4223	73,86,78	4016,4054,4490	34,25,55	298	226	0.00000081846508615	0.0000673121528109	0.979,0.976,0.976	0.989,0.992,0.984	-0.011
2086	ENSG00000174891	RSRC1	chr3	+	158203071	158203269	158225656	158225733	158123865	158123991	158298038	158298075	2086	1784,1961,1949	73,86,78	1618,1574,1749	34,25,55	298	226	0.0000159557846496	0.000793945748658	0.949,0.945,0.95	0.973,0.979,0.96	-0.023
2088	ENSG00000174891	RSRC1	chr3	+	158225656	158225733	158298038	158298075	158203071	158203245	158354856	158354908	2088	78,104,111	3253,3325,2868	50,34,63	2933,2995,3333	226	186	0.000000173104690804	0.0000182885011448	0.019,0.025,0.031	0.014,0.009,0.015	0.012
2089	ENSG00000174891	RSRC1	chr3	+	158225656	158225733	158298038	158298075	158203071	158203245	158460934	158461003	2089	82,97,107	540,497,514	51,27,58	438,456,484	226	186	0.00000283776926635	0.000189615680317	0.111,0.138,0.146	0.087,0.046,0.09	0.057
2090	ENSG00000174891	RSRC1	chr3	+	158225656	158225733	158354856	158354908	158203071	158203245	158460934	158461003	2090	82,97,107	176,157,165	51,27,58	132,155,174	226	201	0.0000337935628563	0.00145638530386	0.293,0.355,0.366	0.256,0.134,0.229	0.132
2093	ENSG00000174891	RSRC1	chr3	+	158298038	158298075	158354856	158354908	158225656	158225733	158460934	158461003	2093	27,16,18	165,140,144	12,5,11	124,147,162	186	201	0.00158498545994	0.0310965930224	0.15,0.11,0.119	0.095,0.035,0.068	0.06
2101	ENSG00000146918	NCAPG2	chr7	-	158671513	158671666	158675476	158675656	158664527	158664750	158679959	158680085	2101	88,107,135	142,161,204	68,71,62	154,161,152	298	298	0.00237457864663	0.0422181538221	0.383,0.399,0.398	0.306,0.306,0.29	0.093
2103	ENSG00000135535	CD164	chr6	-	109370410	109370467	109376073	109376112	109366517	109369017	109377899	109377971	2103	47,34,64	117,117,173	15,22,17	102,93,75	188	206	0.00199161522939	0.0369840078793	0.306,0.242,0.288	0.139,0.206,0.199	0.097
2202	ENSG00000131876	SNRPA1	chr15	-	101284966	101285060	101285725	101285801	101281513	101281782	101286907	101287010	2202	100,56,65	616,549,477	47,27,39	542,451,579	225	243	0.0000128714488485	0.000659438834422	0.149,0.099,0.128	0.086,0.061,0.068	0.054
2206	ENSG00000155749	FLACC1	chr2	-	201330735	201330833	201344169	201344263	201330469	201330522	201346541	201346675	2206	8,8,23	14,18,20	0,0,3	3,16,10	243	247	0.0000161359279008	0.000800852884712	0.367,0.311,0.539	0.0,0.0,0.234	0.328
2225	ENSG00000046651	OFD1	chrX	+	13763744	13763855	13767126	13767284	13762343	13762444	13768053	13768224	2225	197,153,152	735,769,627	107,96,87	641,596,712	260	298	0.0000562789014068	0.00221460448708	0.235,0.186,0.217	0.161,0.156,0.123	0.066
2236	ENSG00000250903	GMDS-DT	chr6	+	2263600	2263684	2397220	2397626	2248836	2248926	2398576	2398778	2236	4,0,6	3,2,1	4,3,3	0,0,1	233	298	0.00148200667048	0.0295185625499	0.63,0.0,0.885	1.0,1.0,0.793	-0.426
2281	ENSG00000113312	TTC1	chr5	+	160010475	160010858	160043132	160043169	160009112	160009193	160049513	160049662	2281	60,0,55	209,216,216	0,0,0	194,192,234	298	186	0	0	0.152,0.0,0.137	0.0,0.0,0.0	0.096
2285	ENSG00000113312	TTC1	chr5	+	160010585	160010858	160043132	160043169	160009145	160009193	160049513	160049662	2285	74,15,76	209,216,216	23,13,20	194,192,234	298	186	0.00000219031984972	0.000153434835402	0.181,0.042,0.18	0.069,0.041,0.051	0.081
2297	ENSG00000135297	MTO1	chr6	+	73480674	73480805	73482448	73482620	73479935	73480367	73500573	73502427	2297	10,12,13	1,0,0	5,3,12	1,3,2	280	298	0.00168762131223	0.0325629237901	0.914,1.0,1.0	0.842,0.516,0.865	0.23
2300	ENSG00000135297	MTO1	chr6	+	73482028	73482244	73482448	73482620	73480674	73480805	73500573	73502427	2300	4,1,3	1,0,0	5,4,1	1,5,2	298	298	0.0000382274003524	0.00160672831824	0.8,1.0,1.0	0.833,0.444,0.333	0.397
2304	ENSG00000135297	MTO1	chr6	+	73482039	73482244	73482448	73482620	73481000	73481116	73500573	73502427	2304	3,3,3	1,0,0	3,0,0	1,3,2	298	298	0.000000158302794317	0.0000171661659358	0.75,1.0,1.0	0.75,0.0,0.0	0.667
2331	ENSG00000197343	ZNF655	chr7	+	99561887	99561973	99571259	99571379	99560532	99560695	99571687	99571792	2331	16,34,28	3,5,8	7,10,5	6,4,9	235	269	0.00292047360724	0.0491297800908	0.859,0.886,0.8	0.572,0.741,0.389	0.281
2339	ENSG00000197603	CPLANE1	chr5	-	37243012	37243119	37244374	37244607	37239712	37239869	37245478	37245598	2339	0,10,6	1,8,2	3,6,3	0,2,0	298	256	0.00102919288814	0.0222020120677	0.0,0.518,0.72	1.0,0.72,1.0	-0.494
